nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree
NCT06510361,Epcoritamab in Patients With Follicular Lymphoma Not Accomplishing a CR With Upfront Chemoimmunotherapy,"Lymphoma;Follicular Lymphoma;Lymphoma,Non-Hodgkin;Lymphoma, Non-Hodgkin's, Adult",Lymphoma,,lymphoma,,
NCT05588453,Natural Killer Cell Therapy (UD TGFbetai NK Cells) and Temozolomide for the Treatment of Stage IV Melanoma Metastatic to the Brain,Clinical Stage IV Cutaneous Melanoma AJCC v8;Metastatic Malignant Neoplasm in the Brain;Metastatic Melanoma;Pathologic Stage IV Cutaneous Melanoma AJCC v8,Melanoma & skin,,melanoma_skin,,
NCT07213804,A Three-Part Phase 3 Study of Sofetabart Mipitecan in Participants With Platinum-Resistant (Part A) and Platinum-Sensitive (Parts B and C) Ovarian Cancer,Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Neoplasm Metastasis,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT07426484,Cosibelimab for CSCC in Patients With Kidney Transplant or Hematologic Malignancy,Cutaneous Squamous Cell Carcinoma;Skin Cancer,Melanoma & skin,,melanoma_skin,,
NCT06774963,A Phase 1 Study of LNCB74 in Advanced Solid Tumors,Ovarian Cancer;Breast Cancer;Endometrial Cancer;Biliary Tract Cancer;Non-Small Cell Lung Cancer;Advanced or Metastatic Solid Tumors,Multiple cancer types / basket or umbrella,multiple named cancers,breast;gynecologic;liver_biliary;lung,,
NCT06357533,"Phase III, Open-label, Study of First-line Dato-DXd in Combination With Rilvegostomig for Advanced Non-squamous NSCLC With High PD-L1 Expression (TC ≥ 50%) and Without Actionable Genomic Alterations",Non-Small Cell Lung Cancer,Lung & thoracic,,lung,,
NCT04090567,Olaparib With Cediranib or AZD6738 for the Treatment of Advanced or Metastatic Germline BRCA Mutated Breast Cancer,Advanced Breast Carcinoma;Anatomic Stage III Breast Cancer AJCC v8;Anatomic Stage IIIA Breast Cancer AJCC v8;Anatomic Stage IIIB Breast Cancer AJCC v8;Anatomic Stage IIIC Breast Cancer AJCC v8;Anatomic Stage IV Breast Cancer AJCC v8;Germline BRCA1 Gene Mutation;Germline BRCA2 Gene Mutation;HER2/Neu Negative;Metastatic Breast Carcinoma;Prognostic Stage III Breast Cancer AJCC v8;Prognostic Stage IIIA Breast Cancer AJCC v8;Prognostic Stage IIIB Breast Cancer AJCC v8;Prognostic Stage IIIC Breast Cancer AJCC v8;Prognostic Stage IV Breast Cancer AJCC v8,Breast,,breast,,
NCT07175441,Evaluation of RBS2418 in Combination With Tremelimumab Plus Durvalumab in Participants With Advanced Unresectable Hepatocellular Carcinoma,Advanced Unresectable Hepatocellular Carcinoma,Liver & biliary,,liver_biliary,,
NCT06445972,Substudy 06D: Combination Therapies in Second Line (2L) Gastroesophageal Adenocarcinoma (MK-3475-06D/Keymaker-U06),Gastroesophageal Junction;Gastroesophageal Adenocarcinoma;Esophageal Neoplasms;Esophageal Cancer,Gastric & esophageal,,gastric_esophageal,,
NCT06914128,A Study of PRMT5 Inhibitor BAY 3713372 in Participants With MTAP-deleted Solid Tumors,MTAP-deleted Solid Tumors,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT05867420,A Study of ASKG915 in Patients With Selected Advanced Solid Tumors.,Advanced Solid Tumors,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT06926868,"A Study of Izalontamab Brengitecan Versus Chemotherapy in Participants With Previously Untreated, Locally Advanced, Recurrent Inoperable, or Metastatic Triple-negative Breast Cancer Ineligible for Anti-PD(L)1 Drugs (IZABRIGHT-Breast01)",Breast Neoplasms,Breast,,breast,,
NCT06840262,Target Muscle Re-innervation and Regenerative Peripheral Nerve Interfaces Alone and in Combination for the Treatment of Residual and Phantom Limb Pain in Cancer Patients Who Have Received an Amputation,Amputation,Other / unclassified,,,,
NCT03213002,Oral Capecitabine and Temozolomide (CAPTEM) for Newly Diagnosed GBM,"Glioblastoma Multiforme (GBM);Glioblastoma;Glioma of Brain;Glioblastoma, Adult;Brain Tumor;Brain Tumor, Primary;Brain Tumor Adult;Cancer;Brain Cancer",Brain & CNS,,brain_cns,,
NCT06244771,A Study Evaluating FMC-376 in Participants With KRAS G12C Mutated Solid Tumors,"Advanced Solid Tumors With KRAS G12C Mutations;Solid Tumor, Adult;Unresectable Solid Tumor;Metastatic Solid Tumor;Non Small Cell Lung Cancer;Colorectal Cancer;KRAS G12C;Pancreatic Cancer",Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;lung;pancreatic,,
NCT05208307,"Belantamab Mafodotin, Pomalidomide and Dexamethasone for the Treatment of High-Risk Myeloma",Plasma Cell Myeloma,Myeloma & plasma cell,,myeloma,,
NCT06561152,Tagraxofusp and Low-Intensity Chemotherapy for CD123-Positive Relapsed or Refractory AML,Refractory Acute Myeloid Leukemia;Relapsed Acute Myeloid Leukemia,Leukemia,,leukemia,,
NCT07283731,Phase 2 Trial of Zanzalintinib and Pembrolizumab in Select Subtypes of Advanced/Metastatic Soft-tissue Sarcoma,Phase 2;Zanzalintinib;Pembrolizumab;Advanced/Metastatic;Soft-Tissue Sarcoma,Sarcoma,,sarcoma,,
NCT06926595,Allogeneic HSCT With Low-Dose Post-Transplant Cyclophosphamide for GVHD Prevention,Graft-versus-Host Disease (GVHD);Hematologic Malignancies;Allogeneic Stem Cell Transplantation,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT06254911,"Pre-operative Atezolizumab in Patients With Resectable, Human Papillomavirus Related Oropharyngeal Carcinoma","Oropharynx Cancer, Stage I",Head & neck,,head_neck,,
NCT06252662,Liposomal Bupivacaine Vs Bupivacaine with Dexmedetomidine in Erector Spinae Plane Blocks for Mastectomies,Breast Cancer,Breast,,breast,,
NCT04002947,Acalabrutinib With DA-EPOCH-R or R-CHOP for People With Untreated Diffuse Large B-cell Lymphoma,Non-Hodgkin's Lymphoma;Diffuse Large B-Cell Lymphoma;DLBCL;NHL,Lymphoma,,lymphoma,,
NCT06129734,Decitabine and Venetoclax Treatment as Maintenance Therapy in Patients Post Allograft Stem Cell Transplant,Myeloid Malignancy;Acute Myeloid Leukemia,Leukemia,,leukemia,,
NCT06324357,Beamion BCGC-1: A Study to Find a Suitable Dose of Zongertinib Used Alone and in Combination With Other Treatments to Test Whether it Helps People With Different Types of HER2+ Cancer That Has Spread,Metastatic Breast Cancer;Metastatic Gastric Adenocarcinoma;Gastroesophageal Junction Adenocarcinoma;Esophageal Adenocarcinoma;Colorectal Cancer,Multiple cancer types / basket or umbrella,multiple named cancers,breast;colorectal;gastric_esophageal,,
NCT07209449,A Study of Elacestrant Alone or in Combination With Abemaciclib in People With Endometrial Cancer,Endometrial Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT07148180,"A Multi-Site Break Through Cancer Trial: Targeting Measurable Residual Disease in Patients With Acute Myeloid Leukemia: A Phase 1/2 Study of Tagraxofusp, Azacitidine, and Venetoclax",Acute Myeloid Leukaemia (AML);Leukemia;Blood Cancer;Blood Cancers,Leukemia,,leukemia,,
NCT05356182,A Pilot and Feasibility Study of a Dietary Intervention With Low-protein Meals in Cancer Patients Receiving Immunotherapies,Medical Oncology;Integrative Oncology;Medical Nutrition Therapy,Other / unclassified,,,,
NCT06337942,Deceased Donor Bladder or Combined Kidney-bladder Transplantation: a Phase 0 First-in-human Study,"Bladder Disease;Bladder, Neurogenic;Bladder Cancer;Kidney Failure",Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;kidney,,
NCT07219576,Retifanlimab and Ruxolitinib In Solid Malignancies,Non Small Cell Lung Carcinoma;Renal Cell Carcinoma,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;lung,,
NCT05244239,Palliative Radiotherapy With Lurbinectedin in Patients With Extensive Stage Small Cell Lung Cancer,Extensive Stage Lung Small Cell Carcinoma;Stage IV Lung Cancer AJCC v8,Lung & thoracic,,lung,,
NCT06771219,SLV-154 Treatment of Advanced Cancers,Advanced Cancer;Advanced Solid Tumor;Metastatic Cancer,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT04221893,Radiation Therapy for the Treatment of Metastatic Gastrointestinal Cancers,Stage IV Esophageal Adenocarcinoma;Stage IV Esophageal Squamous Cell Carcinoma;Stage IV Gastric Cancer;Stage IV Adenocarcinoma of the Gastroesophageal Junction;Stage IVA Esophageal Adenocarcinoma;Stage IVA Esophageal Squamous Cell Carcinoma;Stage IVA Gastric Cancer;Stage IVA Adenocarcinoma of the Gastroesophageal Junction;Stage IVB Esophageal Adenocarcinoma;Stage IVB Esophageal Squamous Cell Carcinoma;Stage IVB Gastric Cancer;Stage IVB Gastroesophageal Junction Adenocarcinoma;Metastatic Anal Canal Carcinoma;Metastatic Colorectal Carcinoma;Metastatic Esophageal Carcinoma;Metastatic Gastric Carcinoma;Metastatic Gastroesophageal Junction Adenocarcinoma;Metastatic Hepatocellular Carcinoma;Metastatic Malignant Digestive System Neoplasm;Metastatic Small Intestinal Carcinoma;Pancreatobiliary Carcinoma;Pathologic Stage IV Gastric Cancer AJCC v8;Pathologic Stage IVA Esophageal Adenocarcinoma AJCC v8;Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8;Pathologic Stage IVB Esophageal Adenocarcinoma AJCC v8;Pathologic Stage IVB Esophageal Squamous Cell Carcinoma AJCC v8;Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8;Postneoadjuvant Therapy Stage IV Esophageal Squamous Cell Carcinoma AJCC v8;Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8;Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8;Postneoadjuvant Therapy Stage IVA Esophageal Adenocarcinoma AJCC v8;Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8;Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8;Postneoadjuvant Therapy Stage IVB Esophageal Adenocarcinoma AJCC v8;Postneoadjuvant Therapy Stage IVB Esophageal Squamous Cell Carcinoma AJCC V8;Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8;Stage IV Anal Cancer AJCC v8;Stage IV Colorectal Cancer AJCC v8;Stage IV Hepatocellular Carcinoma AJCC v8;Stage IVA Colorectal Cancer AJCC v8;Stage IVA Hepatocellular Carcinoma AJCC v8;Stage IVB Colorectal Cancer AJCC v8;Stage IVB Hepatocellular Carcinoma AJCC v8;Stage IVC Colorectal Cancer AJCC v8,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;gastric_esophageal;liver_biliary;other_named;pancreatic,,
NCT07227792,Tongue-out Radiation Therapy (TORT) for the Mitigation of Radiotherapy-related Toxicities in Patients With Head and Neck Cancer,Head and Neck Carcinoma,Head & neck,,head_neck,,
NCT05714839,A Study to Investigate the Safety and Efficacy of Belantamab for the Treatment of Multiple Myeloma When Used as Monotherapy and in Combination Treatments,Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT07566156,Enfortumab Vedotin in Combination With Pembrolizumab vs. Concurrent Chemoradiotherapy (cCRT) in People With Muscle Invasive Bladder Cancer (EV-309),Urothelial Cancer;Urinary Bladder Neoplasms,Bladder & urothelial,,bladder_urothelial,,
NCT04511013,A Study to Compare the Administration of Encorafenib + Binimetinib + Nivolumab Versus Ipilimumab + Nivolumab in BRAF-V600 Mutant Melanoma With Brain Metastases,Acral Lentiginous Melanoma;Clinical Stage IV Cutaneous Melanoma AJCC v8;Metastatic Cutaneous Melanoma;Metastatic Malignant Neoplasm in the Brain;Metastatic Melanoma;Metastatic Mucosal Melanoma;Pathologic Stage IV Cutaneous Melanoma AJCC v8,Melanoma & skin,,melanoma_skin,,
NCT02727803,Personalized NK Cell Therapy in CBT,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive;Acute Biphenotypic Leukemia;Acute Lymphoblastic Leukemia;Acute Lymphoblastic Leukemia in Remission;Acute Myeloid Leukemia With Myelodysplasia-Related Changes;Acute Myeloid Leukemia With Variant MLL Translocations;B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1;Chemotherapy-Related Leukemia;Chronic Myelomonocytic Leukemia;Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive;High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements;ISS Stage II Plasma Cell Myeloma;ISS Stage III Plasma Cell Myeloma;Myelodysplastic Syndrome;Myelodysplastic Syndrome With Excess Blasts;Myelodysplastic Syndrome With Gene Mutation;Myelodysplastic/Myeloproliferative Neoplasm;Previously Treated Myelodysplastic Syndrome;Recurrent Acute Myeloid Leukemia;Recurrent Adult Acute Myeloid Leukemia;Recurrent Hodgkin Lymphoma;Recurrent Non-Hodgkin Lymphoma;Refractory Acute Lymphoblastic Leukemia;Refractory Adult Acute Lymphoblastic Leukemia;Secondary Acute Myeloid Leukemia;Therapy-Related Myelodysplastic Syndrome",Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;mds_mpn;myeloma,,
NCT04269902,"Testing Early Treatment for Patients With High-Risk Chronic Lymphocytic Leukemia (CLL) or Small Lymphocytic Leukemia (SLL), EVOLVE CLL/SLL Study",Chronic Lymphocytic Leukemia;Small Lymphocytic Lymphoma,Leukemia,,leukemia,,
NCT06822010,SeqUential GeMcitabine and MITomycin Treatment for Favorable High-Risk Upper Urinary Tract Urothelial Carcinoma,Urinary Bladder Cancer;Upper Tract Urothelial Cancer;Urothelial Cancer,Bladder & urothelial,,bladder_urothelial,,
NCT04594187,Nodal Radiation Therapy for Sentinel Lymph Node Positive Melanoma,Melanoma,Melanoma & skin,,melanoma_skin,,
NCT07377435,DC/MM Fusion Vaccine With BCMA CAR-T in R/R MM,Multiple Myeloma;Refractory Multiple Myeloma;Relapse Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT06686043,"HPV Vaccine, Imiquimod, and Metformin Combination Trial",Cervical Carcinoma;Vaginal Carcinoma;Vulvar Carcinoma;HPV (Human Papillomavirus)-Associated Carcinoma,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT06469281,"A Study to Learn if 27T51, a Mucin-16 (MUC16) Protein Targeting Immune Cell Therapy, Administered Alone or in Combination is Safe and How Well it Works for Adult Participants With Recurrent or Treatment Resistant Ovarian Cancers",Epithelial Ovarian Cancer;Primary Peritoneal Carcinoma;Fallopian Tube Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT06997068,"Methotrexate, Erlotinib, and Celecoxib for the Treatment of Recurrent/Metastatic Head and Neck Cancer in a Rural Midwest United States Population",Metastatic Oral Cavity Carcinoma;Recurrent Oral Cavity Carcinoma;Stage IVC Lip and Oral Cavity Cancer AJCC v8;Head and Neck Cancer;Hypopharynx Cancer;Oropharynx Cancer;Clinical Stage IV HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Metastatic Hypopharyngeal Carcinoma;Metastatic Laryngeal Carcinoma;Metastatic Malignant Head and Neck Neoplasm;Metastatic Oropharyngeal Carcinoma;Recurrent Hypopharyngeal Carcinoma;Recurrent Laryngeal Carcinoma;Recurrent Malignant Head and Neck Neoplasm;Recurrent Oropharyngeal Carcinoma;Stage IVC Hypopharyngeal Carcinoma AJCC v8;Stage IVC Laryngeal Cancer AJCC v8;Stage IVC Oropharyngeal (p16-Negative) Carcinoma AJCC v8,Head & neck,,head_neck,,
NCT07443020,Fast TILs to Treat Metastatic Pleural Effusions From Epithelial or Mesothelial Primary Tumors,"Malignant Pleural Effusion;Malignant Mesothelioma;Pleural Effusion, Malignant;Metastasis to Pleura",Lung & thoracic,,lung,,
NCT07322341,"SX-682 and Atezolizumab for the Treatment of Advanced or Metastatic, Recurrent Non-small Cell Lung Cancer",Advanced Lung Non-Small Cell Carcinoma;Metastatic Lung Non-Small Cell Carcinoma;Recurrent Lung Non-Small Cell Carcinoma;Stage III Lung Cancer AJCC v8;Stage IV Lung Cancer AJCC v8,Lung & thoracic,,lung,,
NCT07070466,Ivonescimab in Comb. With FOLFOX in Advanced HER2 Neg. GEA,Stomach Cancer Stage IV;Esophagus Cancer;Stomach Cancer,Gastric & esophageal,,gastric_esophageal,,
NCT03125642,Auto Stem Cell Transplant for Lymphoma Patients,Non-Hodgkin Lymphoma;Hodgkin Lymphoma,Lymphoma,,lymphoma,,
NCT07427394,Study to Evaluate the Safety and Tolerability of Camizestrant in Combination With Atirmociclib in Women With Advanced Breast Cancer,Advanced Breast Cancer,Breast,,breast,,
NCT04750928,Cyclin-Dependent Kinase (CDK)4/6 Inhibitor Abemaciclib for Neurofibromatosis Type I (NF1) Related Atypical Neurofibromas,Neurofibromatosis 1,Sarcoma,,sarcoma,,
NCT06851936,Developing a Scalable Tobacco Cessation Program for Cancer Survivors and Caregivers,Nicotine Use;Tobacco Use,Other / unclassified,,,,
NCT07428616,A Study of Zanzalintinib in Participants With Recurrent or Progressive Meningioma,Meningioma,Brain & CNS,,brain_cns,,
NCT06347705,A Study of 2141-V11 in Combination With Standard Treatments in People With Prostate Cancer,Prostate Cancer,Prostate,,prostate,,
NCT06812052,Short Course Radiation Treatment for Patients With Primary or Locally Recurrent Retroperitoneal Sarcoma Prior to Surgery,Retroperitoneal Sarcoma,Sarcoma,,sarcoma,,
NCT06096038,Autologous CAR-T Cells Targeting CSPG4 in Relapsed/Refractory HNSCC,Head and Neck Cancer;Relapse;Recurrent;Refractory Cancer,Head & neck,,head_neck,,
NCT06397703,ADT and SBRT vs SBRT Alone for Unfavorable Intermediate Risk Prostate Cancer,Prostate Cancer,Prostate,,prostate,,
NCT06704191,"In-home Intravesical Chemotherapy for the Treatment of Bladder Cancer, INVITE Trial",Non-Muscle Invasive Bladder Carcinoma;Stage 0a Bladder Cancer AJCC v8;Stage I Bladder Cancer AJCC v8;Stage 0is Bladder Cancer AJCC v8,Bladder & urothelial,,bladder_urothelial,,
NCT06309225,Dose Adjusted Chemoradiotherapy in HPV-Associated Oropharynx Cancer of the Elderly,Oropharynx Cancer;Frailty,Head & neck,,head_neck,,
NCT06585410,Study of Intralesional Cemiplimab in Adult Patients With Early Stage Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma (CSCC),Melanoma & skin,,melanoma_skin,,
NCT04729114,A Safety and Dose-finding Study of PRL-02 Depot in Men With Advanced Prostate Cancer,Prostate Cancer;Metastatic Castration Resistant Prostate Cancer;Metastatic Castration-sensitive Prostate Cancer,Prostate,,prostate,,
NCT06613217,Study of Oral PCLX-001 in R/R Acute Myeloid Leukemia,Relapsed Adult AML,Leukemia,,leukemia,,
NCT05521789,Erector Spinae Block for Thoracic Surgery,Pulmonary Neoplasm;Pulmonary Cancer;Thoracic Diseases;Thoracic Cancer;Thoracic Neoplasms,Lung & thoracic,,lung,,
NCT07049848,"SATURN-STS: Phase II Study of Neoadjuvant Atezolizumab With Doxorubicin, Concurrent Atezolizumab With Pre-operative Radiation Therapy and Adjuvant Atezolizumab in Patients With High-risk Surgically Resectable Extremity and Truncal Soft Tissue Sarcoma",Soft Tissue Sarcoma,Sarcoma,,sarcoma,,
NCT06058377,"Adding an Immunotherapy Drug, MEDI4736 (Durvalumab), to the Usual Chemotherapy Treatment (Paclitaxel, Cyclophosphamide, and Doxorubicin) for Stage II-III Breast Cancer",Anatomic Stage II Breast Cancer AJCC v8;Anatomic Stage III Breast Cancer AJCC v8;HER2-Negative Breast Carcinoma;Hormone Receptor-Positive Breast Carcinoma,Breast,,breast,,
NCT07581002,A Study to Assess Adverse Events and Change in Disease Activity When Intravenous (IV) Pivekimab Sunirine is Given in Combination With Oral Venetoclax and IV or Subcutaneous Azacitidine in Adult Participants With Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Leukemia,,leukemia,,
NCT07355205,First-Line Ipilimumab Plus Nivolumab and Nogapendekin Alfa Inbakicept (N-803) in Patients With Stage IV or Recurrent Non-Small Cell Lung Cancer,Non-small Cell Lung Cancer Stage IV;Non-small Cell Lung Cancer Recurrent,Lung & thoracic,,lung,,
NCT05960773,"Decitabine/Cedazuridine (INQOVI), an Oral DNA Demethylating Agent, in Subjects With BAP1 Cancer Predisposition Syndrome and Subclinical, Early-Stage Mesothelioma",Mesothelioma;Malignant Mesothelioma (MM);Early-stage Mesothelioma;Subclinical Mesothelioma;BRCA1-Associated Protein-1 (BAP1) Mutations;Early-stage BAP1-associated Malignancies,Multiple cancer types / basket or umbrella,multiple named cancers,lung;myeloma,,
NCT04198766,Study of INBRX-106 and INBRX-106 in Combination With Pembrolizumab (Keytruda®) in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist),Solid Tumor;Non-Small Cell Lung Cancer;Head and Neck Cancer;Melanoma;Gastric Cancer;Renal Cell Carcinoma;Urothelial Carcinoma;Resectable Non-Small-Cell Lung Cancer,Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;gastric_esophageal;head_neck;kidney;lung;melanoma_skin,,
NCT06121843,"A Study to Evaluate the Safety, Effectiveness and Tolerable Dose of Arlocabtagene Autoleucel (BMS-986393) in Novel Combinations in Participants With Relapsed and/or Refractory Multiple Myeloma",Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT04827810,A Phase I Safety and Pharmacokinetic Study of Gamitrinib Administered Intravenously to Patients With Advanced Cancer,Lymphoma;Advanced Solid Tumor,Multiple cancer types / basket or umbrella,basket with a named cohort,lymphoma,,
NCT04741997,Adjuvant Therapy Based on Pathologic Response After Neoadjuvant Encorafenib Binimetinib in Melanoma,Melanoma Stage III;Melanoma Stage IV;BRAF V600 Mutation,Melanoma & skin,,melanoma_skin,,
NCT06889493,SVV-001 With Nivolumab and Ipilimumab in Patients With Poorly Differentiated Neuroendocrine Carcinomas (NEC) or Well-Differentiated High-Grade Neuroendocrine Tumors (NET),Neuroendocrine Carcinoma;Neuroendocrine Tumors,Neuroendocrine & endocrine,,neuroendocrine_endocrine,,
NCT06764940,A Pivotal Phase II Clinical Trial of Utidelone Injection Plus Capecitabine in HER2-negative Breast Cancer Patients With Brain Metastases,HER2-negative Breast Cancer Patients With Brain Metastases,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT04665947,First-in-human Study of the Theranostic Pair [68Ga]Ga DOTA-5G and [177Lu]Lu DOTA-ABM-5G in Pancreatic Cancer,Metastatic Pancreatic Cancer;Locally Advanced Pancreatic Adenocarcinoma,Pancreatic,,pancreatic,,
NCT06768489,A Study of JNJ-79635322 in Combination With Daratumumab With or Without Lenalidomide or in Combination With Pomalidomide for Multiple Myeloma,Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT05096715,Atezolizumab+Bevacizumab+SBRT in Unresectable HCC,Unresectable Hepatocellular Carcinoma,Liver & biliary,,liver_biliary,,
NCT05272384,Testing the Combination of Nivolumab and ASTX727 for Relapsed or Refractory B-Cell Lymphoma,Recurrent B-Cell Non-Hodgkin Lymphoma;Recurrent Diffuse Large B-Cell Lymphoma;Recurrent Hodgkin Lymphoma;Refractory B-Cell Non-Hodgkin Lymphoma;Refractory Diffuse Large B-Cell Lymphoma;Refractory Hodgkin Lymphoma,Lymphoma,,lymphoma,,
NCT05830058,"Positron Emission Tomography (PET) Guided Stereotactic Body Radiation Therapy for the Treatment of Oligoprogressive Non-small Cell Lung Cancer, Melanoma, and Renal Cell Carcinoma",Lung Non-Small Cell Carcinoma;Malignant Solid Neoplasm;Melanoma;Renal Cell Carcinoma,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;lung;melanoma_skin,,
NCT06849713,"Zanubrutinib, Obinutuzumab, Sonrotoclax (BOSon) or BGB-16673, Obinutuzumab, Sonrotoclax (DOSon) in TN CLL/SLL",Chronic Lymphocytic Leukemia;Small Lymphocytic Lymphoma (SLL),Leukemia,,leukemia,,
NCT06661915,A Randomized Study of ASTX727 With or Without Iadademstat in Advanced Myeloproliferative Neoplasms (MPNs),"Accelerated Phase Myeloproliferative Neoplasm;Blast Phase Myeloproliferative Neoplasm;Essential Thrombocythemia;Myelodysplastic/Myeloproliferative Neoplasm;Myeloproliferative Neoplasm, Not Otherwise Specified;Polycythemia Vera;Primary Myelofibrosis;Secondary Myelofibrosis",MDS & MPN,,mds_mpn,,
NCT07685717,Pirtobrutinib for the Treatment of Elderly Patients With Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Leukemia,,leukemia,,
NCT07085767,Palazestrant in Combination With Ribociclib for the First-line Treatment of ER+/HER2- Advanced Breast Cancer,Breast Cancer;Locally Advanced Breast Cancer;Metastatic Breast Cancer;ER Positive Breast Cancer;HER2 Negative Breast Carcinoma,Breast,,breast,,
NCT05754580,High-dose Brachytherapy Boost With Stereostatic Body Radiation Therapy to Intermediate or Higher Risk Prostate Cancer,Prostatic Cancer,Prostate,,prostate,,
NCT07020117,A Study of [225Ac]Ac-AKY-1189 in Patients With Solid Tumors,Urothelial Carcinoma Bladder;Triple Negative Breast Cancer (TNBC);Hormone Receptor Positive Breast Adenocarcinoma;Non Small Cell Lung Cancer;Cervical Adenocarcinoma;Colorectal Adenocarcinoma;Head and Neck Cancer,Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;breast;colorectal;gynecologic;head_neck;lung,,
NCT07356245,Ruxolitinib Maintenance Post-Hematopoietic Stem Cell Transplant T-Cell Lymphoma,"T-cell Lymphoma;Graft Versus Host Disease;Lymphoma, T-Cell;Peripheral T Cell Lymphoma;T-cell Prolymphocytic Leukemia;Cutaneous T Cell Lymphoma;Adult T-cell Leukemia/Lymphoma;Primary Cutaneous T-Cell Non-Hodgkin Lymphoma",Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,,
NCT02584270,Prosthesis Guided Speech Rehabilitation of T1/T2 Cancers of the Tongue,Tongue Neoplasms;Tongue Cancer;Oral Cancer,Head & neck,,head_neck,,
NCT04771572,"Study of Oral Administration of LP-118 in Patients With Relapsed or Refractory CLL, SLL, MDS, MDS/MPN, AML, CMML-2, MPN-BP, ALL, MF, NHL, RT, MM or T-PLL.",Non Hodgkin Lymphoma;Richter Transformation;Multiple Myeloma;T-cell-prolymphocytic Leukemia;Acute Myeloid Leukemia;Acute Lymphocytic Leukemia;Myeodysplastic Syndrome;Myelodysplastic/Myeloproliferative Neoplasm;Myelofibrosis;Chronic Lymphocytic Leukemia;Small Lymphocytic Lymphoma;Chronic Myelomonocytic Leukemia-2;Myelodysplastic Neoplasm in Blast Phase,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;mds_mpn;myeloma,,
NCT06623422,A Study of Pembrolizumab (MK-3475) With or Without Intismeran Autogene (V940) in Participants With Non-small Cell Lung Cancer (V940-009/INTerpath-009),"Carcinoma, Non-Small-Cell Lung",Lung & thoracic,,lung,,
NCT07198724,ERADICATE: A Phase Ib/II Study of Elacestrant Plus Trastuzumab Deruxtecan in Patients With CDK4/6 Inhibitor and Endocrine-resistant HR+/HER2-low or HER2-ultralow Metastatic Breast Cancer,Metastatic Breast Cancer;HER2 Low Breast Carcinoma;HER2-negative Breast Cancer;Breast Cancer;Breast Cancer Female,Breast,,breast,,
NCT06711705,Elranatamab in Relapsed/Refractory Multiple Myeloma,Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT07189403,A Study of DS9051b in Participants With Advanced or Metastatic Adrenocortical Carcinoma and Metastatic Castration-resistant Prostate Cancer,Advanced or Metastatic Adrenocortical Carcinoma;Metastatic Castration-resistant Prostate Cancer,Multiple cancer types / basket or umbrella,multiple named cancers,neuroendocrine_endocrine;prostate,,
