nct_id,brief_title,conditions,n_us_sites
NCT05561907,Enteral Anastomosis for the Treatment of Gastric Outlet Obstruction: A Randomized Controlled Study Comparing Endoscopic Versus Surgical Gastrojejunostomy,Gastric Outlet Obstruction,1
NCT06096272,Using Augmented Reality to Promote Physical Activity in Children With Cerebral Palsy,Cerebral Palsy;Mobile Phone Use;Pediatric ALL;Physical Disability;Physical Inactivity,1
NCT06538480,Zopa Retreatment and Vector Shedding in Adults With RRP,Recurrent Respiratory Papillomatosis;Papillomavirus Infection;Papillomaviridae,3
NCT07673627,"ADAPT Forward 2 - ISA2 - a Study to Evaluate the Safety, Tolerability and Efficacy of Empasiprubart IV Monotherapy in Participants With AChR-Ab Seropositive Generalized Myasthenia Gravis",AChR-Ab Seropositive Generalized Myasthenia Gravis;Myasthenia Gravis (MG);MG - Myasthenia Gravis;gMG,3
NCT07457918,Long-Term Follow-up Study of Cantharidin (YCANTH [VP-102/TO-208]) in Patients With Common Warts (Verruca Vulgaris),Common Warts (Verruca Vulgaris);Common Warts;Human Papilloma Virus (HPV);Warts,4
NCT07647510,A Phase 3 Study to Evaluate Claseprubart in Adults With Generalized Myasthenia Gravis (EMERGE),"Myasthenia Gravis, Generalized",2
NCT03887273,Study to Investigate the Safety of the Transplantation of Human Glial Restricted Progenitor Cells Into Subjects With Transverse Myelitis,Transverse Myelitis,1
NCT07040566,A Trial of Varenicline for E-cigarette Cessation,E-cigarette Use;Vaping;Nicotine Dependence,2
NCT05974202,rTMS and Cognitive-behavioral Therapy for Cocaine Use Disorder,"Cocaine Use;Cocaine Dependence;Cocaine Use Disorder;Cocaine Use Disorder, Moderate;Cocaine Use Disorder, Severe",1
NCT05948943,Alpelisib in Pediatric and Adult Patients With Lymphatic Malformations Associated With a PIK3CA Mutation.,Lymphatic Malformations,18
NCT06987539,"A Study to Evaluate the Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of Inebilizumab in Children With Generalized Myasthenia Gravis (gMG)",Generalized Myasthenia Gravis,2
NCT06626230,Safety of Anal Curcumin,Anal High Grade Squamous Intraepithelial Lesion,2
NCT06388993,Marrow Cellution™ vs. Traditional BMA Harvest Project,Hip Arthropathy;Avascular Necrosis of Bone;Subchondral Cysts,1
NCT07221838,A Study to Investigate OCS Tapering in Adult Participants With Generalized Myasthenia Gravis Treated With Ravulizumab,Generalized Myasthenia Gravis;gMG,1
NCT06064695,Effects of Whole-body Electrical Muscle Stimulation Exercise on Adults With Myasthenia Gravis,Generalized Myasthenia Gravis,2
NCT05501756,Precision Alemtuzumab Dosing for Allogeneic Hematopoietic Cell Transplantation,Allogeneic Hematopoietic Cell Transplantation,1
NCT06633120,In Vitro Maturation of Human Eggs,Healthy;PCOS;PCOS (Polycystic Ovary Syndrome);Ovarian Reserve;Infertility;Infertility Female;Infertility of Tubal Origin;Infertility Poly Cystic Ovary;AMH;In Vitro Maturation;IVM;IVF,1
NCT06491238,Light vs. Moderate Intensity Exercise in Individuals With Myasthenia Gravis,Myasthenia Gravis,1
NCT06392386,A Study of Efgartigimod PH20 SC in Children Between 2 and Less Than 18 Years of Age With Generalized Myasthenia Gravis,Generalized Myasthenia Gravis,3
NCT06290869,Tobacco Education and Lung Health Study (TEAL),Smoking Cessation,1
NCT05862272,A Phase 3B Study to Evaluate Bone Mineral Density With Long-Term Use of Relugolix Combination Tablet in Women With Uterine Fibroids or Endometriosis,Uterine Fibroids;Endometriosis,120
NCT03155854,The Effects of Prophylactic Limited Palmar Fasciectomy on Surgical Outcomes and Scarring,Dupuytren Contracture,1
NCT06680037,A Study to Assess the Safety and Clinical Activity of Azer-cel in Participants With B-cell Mediated Autoimmune Disorders,B-cell Mediated Autoimmune Disorders,8
NCT04249830,Stem Cell Transplant From Donors After Alpha Beta Cell Depletion in Children and Young Adults,Hematologic Diseases,1
NCT03609580,Post-operative Urinary Retention (POUR) Following Thoracic Surgery,Urinary Retention,1
NCT06607627,"PK, PD, Safety, and Efficacy Study of Gefurulimab in Pediatric Patients With AChR+ Generalized Myasthenia Gravis",Generalized Myasthenia Gravis;gMG,2
NCT05183490,R-MVST Cells for Treatment of Viral Infections,Epstein-Barr Virus Infections;Cytomegalovirus Infections;Adenovirus;BK Virus Infection,1
NCT07100990,Treatment of Inflammatory Myelitis and Optic Neuritis With Early vs Rescue Plasma Exchange (TIMELY-PLEX),"Optic Neuritis;Myelitis;Myelitis, Transverse",29
NCT06286397,Topical Anti-Androgens in Pilonidal Sinus Disease,Pilonidal Disease;Pilonidal Disease of Natal Cleft;Pilonidal Sinus;Pilonidal Cyst,1
NCT07559474,A Study to Assess the Safety and Pharmacokinetics of INCB123667 When Administered Orally to Adult Participants With Moderate or Severe Hepatic Impairment,Hepatic Insufficiency;Liver Diseases,4
NCT06574152,Effect of Photobiomodulation on Pain and Healing of the Vertical Releasing Incision After Endodontic Microsurgery,Apical Periodontitis;Endodontically Treated Teeth;Endodontic Disease;Apical Cyst;Apical Granuloma;Periradicular Disease;Previous Endodontic Treatment,1
NCT06909110,"Viral Specific T-Lymphocytes to Treat Infection With Adenovirus, Cytomegalovirus or Epstein-Barr Virus in Patients With Compromised Immunity",Adenovirus;Cytomegalovirus Infections;Epstein-Barr Virus Infections,2
NCT05625633,Human Papillomavirus (HPV) Vaccination vs. Placebo for the Treatment of Refractory Cutaneous Warts,Warts,2
NCT06926894,R-MVST Cells for Treatment of Viral Infections in Children and Young Adults,Epstein-Barr Virus;Cytomegalovirus Infections;Adenovirus;BK Virus Infection;Immune Deficiency,1
NCT07011966,ASV Therapy for Insomnia,Insomnia;Insomnia (Moderate),1
NCT06903208,RFA for Superficial Lipomas,Lipoma,1
NCT03913117,Study of Treatment for HPV16+ ASC-US or LSIL,ASC-US;LSIL,2
NCT07039916,Study to Assess the Efficacy and Safety of IMVT-1402 in Participants With Mild to Severe Generalized Myasthenia Gravis,Generalized Myasthenia Gravis,48
NCT06820164,Lipomas Treated With Subcutaneous Injections of Cooled or Warmed Sodium Chloride,Lipoma,1
NCT07104331,SARC046: A Phase II Trial of Nab-Sirolimus in Patients With Progressing or Symptomatic Epithelioid Hemangioendothelioma,Epithelioid Hemangioendothelioma (EHE),4
NCT06651177,Evaluation of Tirzepatide as an Adjunct to Buprenorphine for the Treatment of Opioid Use Disorder,"Opioid Use Disorder;Opioid Use Disorder, Moderate;Opioid Use Disorder, Severe",9
NCT06848348,Efficacy and Safety Study of Halneuron in the Treatment of Chemotherapy-Induced Neuropathic Pain,Chemotherapy Induced Neuropathic Pain;Chemotherapy Induced Pain Neuropathy;Chemotherapy Induced Pain,25
NCT05029726,Regional Anesthesia in Minimally Invasive Lumbar Spine Surgery,Lumbar Spinal Stenosis;Lumbar Disc Herniation;Lumbar Spondylolisthesis;Lumbar Spondylosis;Lumbar Radiculopathy;Lumbar Spine Instability;Synovial Cyst;Degenerative Disc Disease;Degenerative Spondylolisthesis;Degenerative Intervertebral Discs,1
NCT07144852,Study of Reformulated Levulan Kerastick Plus PDT for Actinic Keratosis on Upper Extremities,Actinic Keratosis,20
NCT07463521,A Study to Evaluate the Efficacy and Safety of Rozanolixizumab in Adult Participants With Ocular Myasthenia Gravis,Ocular Myasthenia Gravis,5
NCT06193889,"KYSA-6: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Therapy, in Patients With Generalized Myasthenia Gravis",Myasthenia Gravis;Generalized Myasthenia Gravis,10
NCT06536517,The Effects of One-time Intraoperative Methadone During Laparoscopic Hysterectomy in Reducing Opioid Prescription.,Fibroid Uterus,2
