nct_id,brief_title,conditions,setting,setting_terms,hand_check,agree
NCT01720836,Study of the Immune Response of MUC1 (Mucin1) Peptide Vaccine for Non-small Cell Lung Cancer,Non-small Cell Lung Cancer (NSCLC),multiple,adjuvant;advanced;localized,,
NCT02491099,A Phase II Evaluation of Afatinib in Patients With Persistent or Recurrent HER2-positive Uterine Serous Carcinoma,HER2/Neu+ Uterine Serous Carcinoma,advanced,recurrent,,
NCT05139056,Multiple Intracerebral Doses of Neural Stem Cell-Based Virotherapy (NSC-CRAd-S-pk7) for the Treatment of Recurrent High-Grade Gliomas,Currently Only Enrolling Glioblastoma Patients at First Recurrence,advanced,recurrent,,
NCT07436793,"Progestins for the Treatment of Endometrial Cancer or Precancers of the Uterus Before Surgery, The Pro-Window Trial",Endometrial Endometrioid Adenocarcinoma;Endometrial Hyperplasia,not_stated,,,
NCT07000084,"Testing the Addition of an Anti-Cancer Drug, Gemcitabine, to Usual Treatment (BCG Alone) in People Whose Non-Muscle Invasive Bladder Cancer (NMIBC) Came Back After Prior BCG Therapy",Recurrent Non-Muscle Invasive Bladder Carcinoma;Stage 0a Bladder Cancer AJCC v8;Stage I Bladder Cancer AJCC v8,multiple,recurrent;stage i,,
NCT05953961,90Y Transarterial Radioembolization Versus Microwave Ablation in Small Hepatocellular Carcinoma With Hypoalbuminemia,"Carcinoma, Hepatocellular",not_stated,,,
NCT07025226,"Medication Combinations of Dasatinib, Quercetin, Fisetin, Temozolomide, LMP744, and Autologous TLPO Vaccine for the Treatment of Previously Treated Glioma With Residual Disease",Glioma,not_stated,,,
NCT07635238,A Study of Lower Dose Radiation Therapy for People With Prostate Cancer,Prostate Cancer;Prostate Adenocarcinoma,not_stated,,,
NCT07190248,A Clinical Study of Calderasib (MK-1084) and Other Treatments for Participants With Non-Small Cell Lung Cancer (MK-1084-007/KANDLELIT-007),Non-small Cell Lung Cancer,advanced,advanced;first-line;metasta,,
NCT06638307,A First-in-Human Study of MEN2312 in Adults With Advanced Breast Cancer,Advanced Breast Cancer,advanced,advanced,,
NCT06080503,Phase II Randomized Study of Hypofractionated Versus Conventional Radiotherapy,Laryngeal Carcinoma,not_stated,,,
NCT04771130,A Study of BGB-11417 in Participants With Myeloid Malignancies,Acute Myeloid Leukemia;Myelodysplastic Syndromes;Myelodysplastic/Myeloproliferative Neoplasm,not_stated,,,
NCT06859762,A First-in-Human Study of YL217 in Patients With Advanced Solid Tumors,Advanced Solid Tumor,advanced,advanced,,
NCT05614739,FORAGER-1: A Study of Vepugratinib (LY3866288; LOXO-435) in Participants With Cancer With a Change in a Gene Called FGFR3,Urinary Bladder Neoplasms;Neoplasm Metastasis;Ureteral Neoplasms,advanced,advanced;metasta,,
NCT03886311,"Talimogene Laherparepvec, Nivolumab and Trabectedin for Sarcoma",Sarcoma,advanced,advanced,,
NCT05989828,A2-ESO-1 TCR-Engineered T Cells for Relapsed/Refractory Advanced or Metastatic NY-ESO-1 Overexpression Positive Triple Negative Breast Cancer,Triple Negative Breast Cancer,advanced,advanced;metasta;refractory;relapsed,,
NCT06479239,Study of EGFRBi Armed Fresh PBMC in Metastatic or Unresectable Pancreatic Cancer,Pancreas Cancer;Pancreatic Cancer,advanced,metasta;unresectable,,
NCT06330805,Effects of Relugolix vs Leuprolide on Cardiac Function in Patients With Prostate Cancer,Prostate Adenocarcinoma;Stage IIB Prostate Cancer AJCC v8;Stage IIC Prostate Cancer AJCC v8,early,stage iib;stage iic,,
NCT03858205,Low-Dose Radiotherapy in Treating Painful Bone Metastases in Patients With Multiple Myeloma,Bone Pain;Metastatic Malignant Neoplasm in the Bone;Plasma Cell Myeloma,advanced,metasta,,
NCT05541822,"To Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetic Profile of ABN401 in Patients With Advanced Solid Tumors Harboring c-MET Dysregulation",Advanced Solid Tumors,advanced,advanced,,
NCT04900623,Risk-adapted Therapy in HPV+ Oropharyngeal Cancer Using Circulating Tumor (ct)HPV DNA Profile - The ReACT Study,HPV-Associated Oropharyngeal Squamous Cell Carcinoma;HPV Positive Oropharyngeal Squamous Cell Carcinoma;HPV-Mediated (P16-Positive) Oropharyngeal Carcinoma by AJCC V8 Stage;HPV-Related Squamous Cell Carcinoma;Clinical Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Pathologic Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Clinical Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Pathologic Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Clinical Stage I HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Pathologic Stage I HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;HPV-Mediated (P16-Positive) Oropharyngeal Carcinoma by AJCC V8 Clinical Stage;HPV-Mediated (P16-Positive) Oropharyngeal Carcinoma by AJCC V8 Pathologic Stage,early,stage i;stage ii;stage iii,,
NCT05271240,Repeated Superselective Intraarterial Cerebral Infusion (SIACI) of Bevacizumab With Temozolomide and Radiation Compared to Temozolomide and Radiation Alone in Newly Diagnosed GBM,"Glioblastoma;Glioblastoma Multiforme;Glioma, Malignant;GBM;Brain Cancer;Glioblastoma, IDH-wildtype;Glioblastoma Multiforme, Adult",newdx,newly diagnosed,,
NCT06525766,"Adaptive Therapy With Capecitabine for Treatment of Metastatic ER Positive, HER2 Negative Breast Cancer",Anatomic Stage IV Breast Cancer AJCC v8;Estrogen-receptor-positive Breast Cancer;Metastatic HER2-Negative Breast Carcinoma;Metastatic Breast Cancer,advanced,metasta;refractory;stage iv,,
NCT07155187,"A Study to Assess Adverse Events and Change in Disease Activity of Intravenous (IV) Telisotuzumab Adizutecan, Monotherapy or in Combination With Osimertinib, Compared to Standard of Care in Adult Participants With Locally Advanced or Metastatic EGFR-Mutated Non-Squamous Non-Small Cell Lung Cancer",Non-Small Cell Lung Cancer,advanced,advanced;metasta,,
NCT06501196,A Study of BH-30236 in Relapsed/ Refractory Acute Myelogenous Leukemia and Higher Risk Myelodysplastic Syndrome,"Leukemia;Leukemia, Myeloid;Leukemia, Myeloid, Acute;Preleukemia;Myelodysplastic Syndromes;Refractory Acute Myeloid Leukemia",advanced,refractory;relapsed,,
