county_fips,zip,shorter,longer,suggested_canonical
01003,36526,southern cancer center,southern cancer center p c,southern cancer center p c
01003,36526,southern cancer center,southern cancer center pc,southern cancer center pc
01003,36526,southern cancer center,southern cancer center scc,southern cancer center scc
01069,36303,dothan hematology oncology,xcancer research network dothan hematology oncology,xcancer research network dothan hematology oncology
01073,35233,the university of alabama at birmingham,the university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center
01073,35233,university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center
01073,35243,alabama oncology,alabama oncology grandview cancer center,alabama oncology grandview cancer center
01073,35243,alabama oncology,birmingham hematology and oncology associates d b a alabama oncology,birmingham hematology and oncology associates d b a alabama oncology
01073,35294,university of alabama,o neal comprehensive cancer center at university of alabama birmingham,o neal comprehensive cancer center at university of alabama birmingham
01073,35294,university of alabama,the university of alabama,the university of alabama
01073,35294,university of alabama,university of alabama 6th ave,university of alabama 6th ave
01073,35294,university of alabama,university of alabama at birmingham,university of alabama at birmingham
01073,35294,university of alabama,university of alabama at birmingham comprehensive cancer center,university of alabama at birmingham comprehensive cancer center
01073,35294,university of alabama,university of alabama at birmingham uab hospital,university of alabama at birmingham uab hospital
01073,35294,university of alabama at birmingham,university of alabama at birmingham comprehensive cancer center,university of alabama at birmingham comprehensive cancer center
01073,35294,university of alabama at birmingham,university of alabama at birmingham uab hospital,university of alabama at birmingham uab hospital
01089,35805,clearview cancer institute,clearview cancer institute huntsville cci drive,clearview cancer institute huntsville cci drive
02020,99508,alaska oncology and hematology,alaska oncology and hematology llc,alaska oncology and hematology llc
04013,85004,university of arizona,banner university medical center tucson university of arizona,banner university medical center tucson university of arizona
04013,85006,banner university medical center phoenix,banner university medical center phoenix campus banner good samaritan medical center,banner university medical center phoenix campus banner good samaritan medical center
04013,85006,medical dermatology specialists,medical dermatology specialists phoenix,medical dermatology specialists phoenix
04013,85054,mayo clinic,mayo clinic 1,mayo clinic 1
04013,85054,mayo clinic,mayo clinic arizona,mayo clinic arizona
04013,85054,mayo clinic,mayo clinic building phoenix,mayo clinic building phoenix
04013,85054,mayo clinic,mayo clinic cancer center,mayo clinic cancer center
04013,85054,mayo clinic,mayo clinic comprehensive cancer center,mayo clinic comprehensive cancer center
04013,85054,mayo clinic,mayo clinic comprehensive cancer center breast clinic,mayo clinic comprehensive cancer center breast clinic
04013,85054,mayo clinic,mayo clinic hospital,mayo clinic hospital
04013,85054,mayo clinic,mayo clinic hospital arizona,mayo clinic hospital arizona
04013,85054,mayo clinic,mayo clinic hospital in arizona,mayo clinic hospital in arizona
04013,85054,mayo clinic,mayo clinic in arizona phoenix,mayo clinic in arizona phoenix
04013,85054,mayo clinic,mayo clinic phoenix,mayo clinic phoenix
04013,85054,mayo clinic,mayo clinic scottsdale arizona,mayo clinic scottsdale arizona
04013,85054,mayo clinic comprehensive cancer center,mayo clinic comprehensive cancer center breast clinic,mayo clinic comprehensive cancer center breast clinic
04013,85054,mayo clinic hospital,mayo clinic hospital arizona,mayo clinic hospital arizona
04013,85054,mayo clinic hospital,mayo clinic hospital in arizona,mayo clinic hospital in arizona
04013,85224,ironwood cancer and research center,ironwood cancer and research centers,ironwood cancer and research centers
04013,85224,ironwood cancer and research center,ironwood cancer and research centers chandler ii,ironwood cancer and research centers chandler ii
04013,85224,ironwood cancer and research center,ironwood cancer and research centers scottsdale,ironwood cancer and research centers scottsdale
04013,85224,ironwood cancer and research center,ironwood physicians p c dba ironwood cancer and research centers,ironwood physicians p c dba ironwood cancer and research centers
04013,85224,ironwood cancer and research centers,ironwood cancer and research centers chandler ii,ironwood cancer and research centers chandler ii
04013,85224,ironwood cancer and research centers,ironwood cancer and research centers scottsdale,ironwood cancer and research centers scottsdale
04013,85224,ironwood cancer and research centers,ironwood physicians p c dba ironwood cancer and research centers,ironwood physicians p c dba ironwood cancer and research centers
04013,85224,ironwood cancer research centers,ironwood cancer research centers research,ironwood cancer research centers research
04013,85234,banner health md anderson,banner health md anderson az,banner health md anderson az
04013,85234,banner health md anderson,banner health md anderson cancer center,banner health md anderson cancer center
04013,85234,banner md anderson,banner md anderson cancer center,banner md anderson cancer center
04013,85234,banner md anderson,banner md anderson cancer center oncology,banner md anderson cancer center oncology
04013,85234,banner md anderson cancer center,banner md anderson cancer center oncology,banner md anderson cancer center oncology
04013,85258,honor health,arizona state university honor health research institute,arizona state university honor health research institute
04013,85258,honor health,honor health clinical research,honor health clinical research
04013,85258,honor health,honor health resarch institute,honor health resarch institute
04013,85258,honor health,honor health research institute,honor health research institute
04013,85258,honor health research institute,arizona state university honor health research institute,arizona state university honor health research institute
04013,85258,honorhealth,honorhealth research and innovation institute,honorhealth research and innovation institute
04013,85258,honorhealth,honorhealth research insisute,honorhealth research insisute
04013,85258,honorhealth,honorhealth research institiute,honorhealth research institiute
04013,85258,honorhealth,honorhealth research institute,honorhealth research institute
04013,85259,mayo clinic scottsdale,mayo clinic scottsdale ppds,mayo clinic scottsdale ppds
04013,85304,palo verde hematology oncology,palo verde hematology oncology center ltd,palo verde hematology oncology center ltd
04013,85338,city of hope,city of hope arizona,city of hope arizona
04013,85338,city of hope,city of hope cancer center phoenix,city of hope cancer center phoenix
04013,85338,city of hope,city of hope phoenix,city of hope phoenix
04013,85338,city of hope,city of hope phoenix cancer center,city of hope phoenix cancer center
04013,85338,city of hope,western regional medical center city of hope phoenix goodyear,western regional medical center city of hope phoenix goodyear
04013,85338,city of hope phoenix,city of hope phoenix cancer center,city of hope phoenix cancer center
04013,85338,city of hope phoenix,western regional medical center city of hope phoenix goodyear,western regional medical center city of hope phoenix goodyear
04015,86442,pioneer research center,pioneer research center llc,pioneer research center llc
04019,85711,arizona oncology associates,scri arizona oncology associates pc hope,scri arizona oncology associates pc hope
04019,85711,arizona oncology associates,usor arizona oncology associates,usor arizona oncology associates
04019,85715,arizona clinical research center,acrc arizona clinical research center,acrc arizona clinical research center
04019,85715,arizona clinical research center,arizona clinical research center inc,arizona clinical research center inc
04019,85719,arizona cancer center at umc north,arizona cancer center at umc north university medical center,arizona cancer center at umc north university medical center
04019,85719,university of arizona cancer center,the university of arizona cancer center north campus,the university of arizona cancer center north campus
04019,85719,university of arizona cancer center,university of arizona cancer center north campus,university of arizona cancer center north campus
04019,85719,university of arizona cancer center,university of arizona cancer center university of arizona cancer center,university of arizona cancer center university of arizona cancer center
04019,85719,university of arizona cancer center north campus,the university of arizona cancer center north campus,the university of arizona cancer center north campus
04019,85724,university of arizona,the university of arizona cancer center,the university of arizona cancer center
04019,85724,university of arizona,university of arizona cancer center tucson,university of arizona cancer center tucson
04021,85140,east valley urology center,east valley urology center of arizona,east valley urology center of arizona
05007,72758,highlands oncology,highlands oncology group,highlands oncology group
05007,72758,highlands oncology,highlands oncology group pa,highlands oncology group pa
05007,72758,highlands oncology,highlands oncology group rogers,highlands oncology group rogers
05007,72758,highlands oncology group,highlands oncology group pa,highlands oncology group pa
05007,72758,highlands oncology group,highlands oncology group rogers,highlands oncology group rogers
05051,71913,genesis cancer and blood institute,genesis cancer and blood institute hot springs harmony park,genesis cancer and blood institute hot springs harmony park
05119,72205,university of arkansas,university of arkansas for medical sciences,university of arkansas for medical sciences
05119,72205,university of arkansas,university of arkansas medical school,university of arkansas medical school
05119,72205,university of arkansas,university of arkansas medical sciences,university of arkansas medical sciences
05119,72205,university of arkansas,university of arkansas winthrop p rockefeller cancer institute,university of arkansas winthrop p rockefeller cancer institute
05119,72211,arkansas urology,arkansas urology associates,arkansas urology associates
05119,72211,arkansas urology,arkansas urology little rock,arkansas urology little rock
05119,72211,arkansas urology,arkansas urology north little rock,arkansas urology north little rock
05143,72703,highlands oncology,highlands oncology group fayetteville,highlands oncology group fayetteville
05143,72762,highlands oncology group,highlands oncology group pa,highlands oncology group pa
05143,72762,highlands oncology group,highlands oncology group research department,highlands oncology group research department
05143,72762,highlands oncology group,highlands oncology group springdale,highlands oncology group springdale
06001,94538,palo alto medical foundation fremont,palo alto medical foundation fremont center,palo alto medical foundation fremont center
06001,94577,kaiser permanente san leandro,kaiser permanente san leandro medical center,kaiser permanente san leandro medical center
06001,94611,kaiser permanente oakland,kaiser permanente oakland broadway,kaiser permanente oakland broadway
06001,94611,kaiser permanente oakland,kaiser permanente oakland medical center,kaiser permanente oakland medical center
06001,94704,alta bates summit medical center,alta bates summit medical center comprehensive cancer center,alta bates summit medical center comprehensive cancer center
06001,94704,alta bates summit medical center,alta bates summit medical center herrick campus,alta bates summit medical center herrick campus
06001,94704,alta bates summit medical center,alta bates summit medical center herrick campus comprehensive cancer center,alta bates summit medical center herrick campus comprehensive cancer center
06001,94704,alta bates summit medical center herrick campus,alta bates summit medical center herrick campus comprehensive cancer center,alta bates summit medical center herrick campus comprehensive cancer center
06013,94596,kaiser permanente walnut creek,kaiser permanente walnut creek medical center,kaiser permanente walnut creek medical center
06013,94598,bass medical group,bass medical group lennon,bass medical group lennon
06013,94598,john muir health,john muir health cancer center,john muir health cancer center
06013,94598,john muir health,john muir health clinical research center,john muir health clinical research center
06019,93611,community cancer institute,community cancer institute cci,community cancer institute cci
06019,93611,community cancer institute,ucsf fresno community cancer institute,ucsf fresno community cancer institute
06019,93611,ucsf fresno,ucsf fresno community cancer institute,ucsf fresno community cancer institute
06019,93720,kaiser permanente fresno,kaiser permanente fresno orchard plaza,kaiser permanente fresno orchard plaza
06019,93720,urology associates of central california,urology associates of central california medical group,urology associates of central california medical group
06029,93309,cbcc global research,cbcc global research comprehensive blood cancer center,cbcc global research comprehensive blood cancer center
06029,93309,cbcc global research,cbcc global research inc,cbcc global research inc
06029,93309,comprehensive blood cancer center,cbcc global research comprehensive blood cancer center,cbcc global research comprehensive blood cancer center
06029,93309,comprehensive blood cancer center,comprehensive blood cancer center bakersfield ca,comprehensive blood cancer center bakersfield ca
06037,90020,clinical research advisors korea town,clinical research advisors korea town satellite location,clinical research advisors korea town satellite location
06037,90025,start cal,start cala,start cala
06037,90025,start la,start lacn,start lacn
06037,90025,start los angele,start los angeles,start los angeles
06037,90025,start los angele,start los angeles llc,start los angeles llc
06037,90025,start los angeles,start los angeles llc,start los angeles llc
06037,90025,the angeles clinic and research institute,cedars sinai cancer at the angeles clinic and research institute,cedars sinai cancer at the angeles clinic and research institute
06037,90025,the angeles clinic and research institute,the angeles clinic and research institute a cedars sinai affiliate,the angeles clinic and research institute a cedars sinai affiliate
06037,90025,the angeles clinic and research institute,the angeles clinic and research institute melanoma,the angeles clinic and research institute melanoma
06037,90025,the angeles clinic and research institute,the angeles clinic and research institute west los angeles,the angeles clinic and research institute west los angeles
06037,90025,the angeles clinic and research institute,the angeles clinic and research institute west los angeles office,the angeles clinic and research institute west los angeles office
06037,90025,the angeles clinic and research institute west los angeles,the angeles clinic and research institute west los angeles office,the angeles clinic and research institute west los angeles office
06037,90027,children s hospital los angeles,children s hospital los angeles div of research immunology bmt adults and pediatrics,children s hospital los angeles div of research immunology bmt adults and pediatrics
06037,90033,norris comprehensive cancer center,esc norris comprehensive cancer center,esc norris comprehensive cancer center
06037,90033,norris comprehensive cancer center,university of southern california norris comprehensive cancer center,university of southern california norris comprehensive cancer center
06037,90033,norris comprehensive cancer center,usc norris comprehensive cancer center,usc norris comprehensive cancer center
06037,90033,norris comprehensive cancer center,usc norris comprehensive cancer center and hospital,usc norris comprehensive cancer center and hospital
06037,90033,norris comprehensive cancer center,usc norris comprehensive cancer center investigational drug service ids,usc norris comprehensive cancer center investigational drug service ids
06037,90033,norris comprehensive cancer center,usc norris comprehensive cancer center investigational drug services,usc norris comprehensive cancer center investigational drug services
06037,90033,norris comprehensive cancer center,usc norris comprehensive cancer center melanoma nsclc,usc norris comprehensive cancer center melanoma nsclc
06037,90033,research,clinical research advisors downtown la,clinical research advisors downtown la
06037,90033,university of southern california,university of southern california norris cancer center,university of southern california norris cancer center
06037,90033,university of southern california,university of southern california norris comprehensive,university of southern california norris comprehensive
06037,90033,university of southern california,university of southern california norris comprehensive cancer center,university of southern california norris comprehensive cancer center
06037,90033,university of southern california norris comprehensive,university of southern california norris comprehensive cancer center,university of southern california norris comprehensive cancer center
06037,90033,usc norris comprehensive cancer center,usc norris comprehensive cancer center and hospital,usc norris comprehensive cancer center and hospital
06037,90033,usc norris comprehensive cancer center,usc norris comprehensive cancer center investigational drug service ids,usc norris comprehensive cancer center investigational drug service ids
06037,90033,usc norris comprehensive cancer center,usc norris comprehensive cancer center investigational drug services,usc norris comprehensive cancer center investigational drug services
06037,90033,usc norris comprehensive cancer center,usc norris comprehensive cancer center melanoma nsclc,usc norris comprehensive cancer center melanoma nsclc
06037,90034,kaiser permanente west los angeles,kaiser permanente west los angeles medical center,kaiser permanente west los angeles medical center
06037,90048,cedars sanai medical center,cedars sanai medical center samuel oschin comprehensive cancer,cedars sanai medical center samuel oschin comprehensive cancer
06037,90048,cedars sinai,cedars sinai breast health services building,cedars sinai breast health services building
06037,90048,cedars sinai,cedars sinai cancer at beverly hills,cedars sinai cancer at beverly hills
06037,90048,cedars sinai,cedars sinai cancer at cedars sinai medical center,cedars sinai cancer at cedars sinai medical center
06037,90048,cedars sinai,cedars sinai cancer at cedars sinai medical facility,cedars sinai cancer at cedars sinai medical facility
06037,90048,cedars sinai,cedars sinai cancer at socc,cedars sinai cancer at socc
06037,90048,cedars sinai,cedars sinai cedars sinai medical center,cedars sinai cedars sinai medical center
06037,90048,cedars sinai,cedars sinai medical center,cedars sinai medical center
06037,90048,cedars sinai,cedars sinai medical center csmc,cedars sinai medical center csmc
06037,90048,cedars sinai,cedars sinai medical center samuel oschin comprehensive cancer institute,cedars sinai medical center samuel oschin comprehensive cancer institute
06037,90048,cedars sinai,cedars sinai samuel oschin comprehensive cancer institute,cedars sinai samuel oschin comprehensive cancer institute
06037,90048,cedars sinai medical center,cedars sinai cancer at cedars sinai medical center,cedars sinai cancer at cedars sinai medical center
06037,90048,cedars sinai medical center,cedars sinai cedars sinai medical center,cedars sinai cedars sinai medical center
06037,90048,cedars sinai medical center,cedars sinai medical center csmc,cedars sinai medical center csmc
06037,90048,cedars sinai medical center,cedars sinai medical center samuel oschin comprehensive cancer institute,cedars sinai medical center samuel oschin comprehensive cancer institute
06037,90048,clinical research advisors west hollywood,clinical research advisors west hollywood satellite location,clinical research advisors west hollywood satellite location
06037,90048,samuel oschin cancer center,cedar sinai samuel oschin cancer center,cedar sinai samuel oschin cancer center
06037,90067,valkyrie clinical trials,valkyrie clinical trials additional site pharmacy storage suite,valkyrie clinical trials additional site pharmacy storage suite
06037,90067,valkyrie clinical trials,valkyrie clinical trials contact for more locations,valkyrie clinical trials contact for more locations
06037,90067,valkyrie clinical trials,valkyrie clinical trials inc,valkyrie clinical trials inc
06037,90073,va greater los angeles healthcare system,va greater los angeles healthcare system west los angeles ca,va greater los angeles healthcare system west los angeles ca
06037,90095,ronald reagan medical center,ucla ronald reagan medical center,ucla ronald reagan medical center
06037,90095,ronald reagan ucla medical center,ronald reagan ucla medical center drug information center,ronald reagan ucla medical center drug information center
06037,90095,ucla department of medicine,ucla department of medicine hematology oncology,ucla department of medicine hematology oncology
06037,90095,ucla health,ucla health bowyer oncology center,ucla health bowyer oncology center
06037,90095,ucla hematology oncology,ucla hematology oncology administrative office,ucla hematology oncology administrative office
06037,90095,ucla hematology oncology,ucla hematology oncology la,ucla hematology oncology la
06037,90095,ucla hematology oncology,ucla hematology oncology la 2,ucla hematology oncology la 2
06037,90095,ucla hematology oncology,ucla hematology oncology main site,ucla hematology oncology main site
06037,90095,ucla hematology oncology,ucla hematology oncology medical plaza,ucla hematology oncology medical plaza
06037,90095,ucla hematology oncology,ucla hematology oncology westwood building 100,ucla hematology oncology westwood building 100
06037,90095,ucla hematology oncology,ucla hematology oncology westwood building 200 suite 214,ucla hematology oncology westwood building 200 suite 214
06037,90095,ucla hematology oncology la,ucla hematology oncology la 2,ucla hematology oncology la 2
06037,90095,ucla medical center,ronald reagan ucla medical center,ronald reagan ucla medical center
06037,90095,ucla medical center,ronald reagan ucla medical center drug information center,ronald reagan ucla medical center drug information center
06037,90095,ucla medical center,ucla medical center of hematology oncology,ucla medical center of hematology oncology
06037,90095,university of california,the regents of the university of california,the regents of the university of california
06037,90095,university of california,university of california at los angeles,university of california at los angeles
06037,90095,university of california,university of california at los angeles jonsson comprehensive cancer center,university of california at los angeles jonsson comprehensive cancer center
06037,90095,university of california,university of california la,university of california la
06037,90095,university of california,university of california los angeles,university of california los angeles
06037,90095,university of california,university of california los angeles data collection only,university of california los angeles data collection only
06037,90095,university of california,university of california los angeles jonsson comprehensive cancer center,university of california los angeles jonsson comprehensive cancer center
06037,90095,university of california,university of california los angeles medical center,university of california los angeles medical center
06037,90095,university of california,university of california los angeles ucla,university of california los angeles ucla
06037,90095,university of california,university of california los angeles ucla david geffen school of medicine,university of california los angeles ucla david geffen school of medicine
06037,90095,university of california,university of california los angeles ucla division of hematology oncology,university of california los angeles ucla division of hematology oncology
06037,90095,university of california at los angeles,university of california at los angeles jonsson comprehensive cancer center,university of california at los angeles jonsson comprehensive cancer center
06037,90095,university of california los angeles,university of california los angeles data collection only,university of california los angeles data collection only
06037,90095,university of california los angeles,university of california los angeles jonsson comprehensive cancer center,university of california los angeles jonsson comprehensive cancer center
06037,90095,university of california los angeles,university of california los angeles medical center,university of california los angeles medical center
06037,90095,university of california los angeles,university of california los angeles ucla,university of california los angeles ucla
06037,90095,university of california los angeles,university of california los angeles ucla david geffen school of medicine,university of california los angeles ucla david geffen school of medicine
06037,90095,university of california los angeles,university of california los angeles ucla division of hematology oncology,university of california los angeles ucla division of hematology oncology
06037,90095,university of california los angeles ucla,university of california los angeles ucla david geffen school of medicine,university of california los angeles ucla david geffen school of medicine
06037,90095,university of california los angeles ucla,university of california los angeles ucla division of hematology oncology,university of california los angeles ucla division of hematology oncology
06037,90211,beverly hills cancer center,beverly hills cancer center clinical research advisors llc,beverly hills cancer center clinical research advisors llc
06037,90211,cedars sinai cancer beverly hills,cedars sinai cancer beverly hills drug treatment and dispensing location,cedars sinai cancer beverly hills drug treatment and dispensing location
06037,90211,clinical research advisors llc,beverly hills cancer center clinical research advisors llc,beverly hills cancer center clinical research advisors llc
06037,90212,nextgen oncology,precision nextgen oncology,precision nextgen oncology
06037,90212,nextgen oncology,precision nextgen oncology and research,precision nextgen oncology and research
06037,90212,nextgen oncology,precision nextgen oncology and research center,precision nextgen oncology and research center
06037,90212,nextgen oncology,precision nextgen oncology research center,precision nextgen oncology research center
06037,90212,precision nextgen oncology,precision nextgen oncology and research,precision nextgen oncology and research
06037,90212,precision nextgen oncology,precision nextgen oncology and research center,precision nextgen oncology and research center
06037,90212,precision nextgen oncology,precision nextgen oncology research center,precision nextgen oncology research center
06037,90212,precision nextgen oncology and research,precision nextgen oncology and research center,precision nextgen oncology and research center
06037,90403,sarcoma oncology research center,sarcoma oncology research center cancer center of southern california,sarcoma oncology research center cancer center of southern california
06037,90404,john wayne cancer institute jwci,saint john s health center john wayne cancer institute jwci,saint john s health center john wayne cancer institute jwci
06037,90404,saint john s cancer institute,pacific neuroscience institute saint john s cancer institute,pacific neuroscience institute saint john s cancer institute
06037,90404,saint john s cancer institute,providence saint john s cancer institute,providence saint john s cancer institute
06037,90404,ucla david geffen school of medicine,ucla david geffen school of medicine division of hematology oncology,ucla david geffen school of medicine division of hematology oncology
06037,90404,ucla health santa monica cancer care,ucla health santa monica cancer care cancer care santa monica,ucla health santa monica cancer care cancer care santa monica
06037,90404,ucla santa monica,ucla santa monica cardiology,ucla santa monica cardiology
06037,90404,ucla santa monica,ucla santa monica hematology oncology,ucla santa monica hematology oncology
06037,90404,ucla santa monica,ucla santa monica medical center,ucla santa monica medical center
06037,90404,ucla santa monica,university of california los angeles ucla santa monica cancer care,university of california los angeles ucla santa monica cancer care
06037,90505,torrance memorial physician network,torrance memorial physician network cancer care,torrance memorial physician network cancer care
06037,90602,pih health,pih health hematology medical oncology,pih health hematology medical oncology
06037,90602,pih health,pih health hospital whittier hospital,pih health hospital whittier hospital
06037,90602,pih health,pih health whittier hospital,pih health whittier hospital
06037,90703,the oncology institute of hope and innovation,the oncology institute of hope and innovation corporate office,the oncology institute of hope and innovation corporate office
06037,90706,kaiser permanente bellflower,kaiser permanente bellflower medical offices,kaiser permanente bellflower medical offices
06037,90710,kaiser permanente south bay,kaiser permanente south bay medical center,kaiser permanente south bay medical center
06037,90806,long beach memorial medical center,long beach memorial medical center todd cancer institute,long beach memorial medical center todd cancer institute
06037,90822,va long beach healthcare system,va long beach healthcare system long beach ca,va long beach healthcare system long beach ca
06037,91010,city of hope,beckman research institute of city of hope,beckman research institute of city of hope
06037,91010,city of hope,beckman research institute of the city of hope,beckman research institute of the city of hope
06037,91010,city of hope,city of hope cancer center,city of hope cancer center
06037,91010,city of hope,city of hope cancer center data collection and specimen analysis,city of hope cancer center data collection and specimen analysis
06037,91010,city of hope,city of hope center,city of hope center
06037,91010,city of hope,city of hope city of hope national medical center city of hope medical center,city of hope city of hope national medical center city of hope medical center
06037,91010,city of hope,city of hope comprehensive cancer cente,city of hope comprehensive cancer cente
06037,91010,city of hope,city of hope comprehensive cancer center,city of hope comprehensive cancer center
06037,91010,city of hope,city of hope comprehensive cancer center duarte,city of hope comprehensive cancer center duarte
06037,91010,city of hope,city of hope duarte,city of hope duarte
06037,91010,city of hope,city of hope duarte 56419,city of hope duarte 56419
06037,91010,city of hope,city of hope duarte cancer center,city of hope duarte cancer center
06037,91010,city of hope,city of hope investigational drug services ids,city of hope investigational drug services ids
06037,91010,city of hope,city of hope medical center,city of hope medical center
06037,91010,city of hope,city of hope medical foundation,city of hope medical foundation
06037,91010,city of hope,city of hope national medical,city of hope national medical
06037,91010,city of hope,city of hope national medical center,city of hope national medical center
06037,91010,city of hope,city of hope orange county lennar foundation cancer center,city of hope orange county lennar foundation cancer center
06037,91010,city of hope,ip address city of hope investigational drug services ids,ip address city of hope investigational drug services ids
06037,91010,city of hope,the city of hope national medical center,the city of hope national medical center
06037,91010,city of hope cancer center,city of hope cancer center data collection and specimen analysis,city of hope cancer center data collection and specimen analysis
06037,91010,city of hope comprehensive cancer cente,city of hope comprehensive cancer center,city of hope comprehensive cancer center
06037,91010,city of hope comprehensive cancer cente,city of hope comprehensive cancer center duarte,city of hope comprehensive cancer center duarte
06037,91010,city of hope comprehensive cancer center,city of hope comprehensive cancer center duarte,city of hope comprehensive cancer center duarte
06037,91010,city of hope duarte,city of hope duarte 56419,city of hope duarte 56419
06037,91010,city of hope duarte,city of hope duarte cancer center,city of hope duarte cancer center
06037,91010,city of hope investigational drug services ids,ip address city of hope investigational drug services ids,ip address city of hope investigational drug services ids
06037,91010,city of hope medical center,city of hope city of hope national medical center city of hope medical center,city of hope city of hope national medical center city of hope medical center
06037,91010,city of hope national medical,city of hope city of hope national medical center city of hope medical center,city of hope city of hope national medical center city of hope medical center
06037,91010,city of hope national medical,city of hope national medical center,city of hope national medical center
06037,91010,city of hope national medical,the city of hope national medical center,the city of hope national medical center
06037,91010,city of hope national medical center,city of hope city of hope national medical center city of hope medical center,city of hope city of hope national medical center city of hope medical center
06037,91010,city of hope national medical center,the city of hope national medical center,the city of hope national medical center
06037,91010,duarte cancer center,city of hope duarte cancer center,city of hope duarte cancer center
06037,91204,los angeles cancer network,los angeles cancer network corporate office,los angeles cancer network corporate office
06037,91204,los angeles cancer network,los angeles cancer network lacn,los angeles cancer network lacn
06037,91204,los angeles cancer network,oncura health d b a los angeles cancer network,oncura health d b a los angeles cancer network
06037,91206,adventist health glendale,glendale adventist medical center d b a adventist health glendale,glendale adventist medical center d b a adventist health glendale
06037,91206,glendale adventist medical center,glendale adventist medical center d b a adventist health glendale,glendale adventist medical center d b a adventist health glendale
06037,91316,clinical research advisors encino,clinical research advisors encino satellite location,clinical research advisors encino satellite location
06037,91367,kaiser permanente woodland hills,kaiser permanente woodland hills medical center,kaiser permanente woodland hills medical center
06037,91402,kaiser permanente panorama city,kaiser permanente panorama city medical center medical offices 3,kaiser permanente panorama city medical center medical offices 3
06037,91505,disney family cancer center,providence saint joseph medical center disney family cancer center,providence saint joseph medical center disney family cancer center
06037,91505,disney family cancer center,roy and patricia disney family cancer center,roy and patricia disney family cancer center
06037,91505,disney family cancer center,roy and patricia disney family cancer center providence saint joseph medical center,roy and patricia disney family cancer center providence saint joseph medical center
06037,91505,providence saint joseph medical center,providence saint joseph medical center disney family cancer center,providence saint joseph medical center disney family cancer center
06037,91505,providence saint joseph medical center,roy and patricia disney family cancer center providence saint joseph medical center,roy and patricia disney family cancer center providence saint joseph medical center
06037,91505,roy and patricia disney family cancer center,roy and patricia disney family cancer center providence saint joseph medical center,roy and patricia disney family cancer center providence saint joseph medical center
06037,91706,kaiser permanente baldwin park,kaiser permanente baldwin park medical center,kaiser permanente baldwin park medical center
06041,94904,marin cancer care,marin cancer care inc,marin cancer care inc
06053,93940,pacific cancer care,pacific cancer care oncology,pacific cancer care oncology
06057,96161,tahoe forest cancer center,gene upshaw memorial tahoe forest cancer center,gene upshaw memorial tahoe forest cancer center
06059,90720,cancer and blood research center,cancer and blood research center llc,cancer and blood research center llc
06059,92612,chao family comprehensive cancer center and ambulatory care,chao family comprehensive cancer center and ambulatory care ciacc irvine,chao family comprehensive cancer center and ambulatory care ciacc irvine
06059,92612,chao family comprehensive cancer center and ambulatory care,uc irvine health chao family comprehensive cancer center and ambulatory care,uc irvine health chao family comprehensive cancer center and ambulatory care
06059,92612,chao family comprehensive cancer center and ambulatory care,uci health chao family comprehensive cancer center and ambulatory care,uci health chao family comprehensive cancer center and ambulatory care
06059,92612,chao family comprehensive cancer center and ambulatory care,uci health chao family comprehensive cancer center and ambulatory care building,uci health chao family comprehensive cancer center and ambulatory care building
06059,92612,uci health chao family comprehensive cancer center and ambulatory care,uci health chao family comprehensive cancer center and ambulatory care building,uci health chao family comprehensive cancer center and ambulatory care building
06059,92612,uci health irvine,uci health irvine infusion pharmacy acc,uci health irvine infusion pharmacy acc
06059,92618,city of hope,city of hope 1,city of hope 1
06059,92618,city of hope,city of hope at irvine lennar,city of hope at irvine lennar
06059,92618,city of hope,city of hope at orange county lennar foundation cancer center,city of hope at orange county lennar foundation cancer center
06059,92618,city of hope,city of hope investigational drug service ids,city of hope investigational drug service ids
06059,92618,city of hope,city of hope investigational drug services ids,city of hope investigational drug services ids
06059,92618,city of hope,city of hope irvine,city of hope irvine
06059,92618,city of hope,city of hope lennar,city of hope lennar
06059,92618,city of hope,city of hope lennar foundation cancer center,city of hope lennar foundation cancer center
06059,92618,city of hope,city of hope medical center,city of hope medical center
06059,92618,city of hope,city of hope national medical center,city of hope national medical center
06059,92618,city of hope,city of hope orange county,city of hope orange county
06059,92618,city of hope,city of hope orange county lennar foundation cancer,city of hope orange county lennar foundation cancer
06059,92618,city of hope,city of hope orange county lennar foundation cancer center,city of hope orange county lennar foundation cancer center
06059,92618,city of hope,the city of hope orange county lennar foundation cancer center,the city of hope orange county lennar foundation cancer center
06059,92618,city of hope lennar,city of hope lennar foundation cancer center,city of hope lennar foundation cancer center
06059,92618,city of hope orange county,city of hope orange county lennar foundation cancer,city of hope orange county lennar foundation cancer
06059,92618,city of hope orange county,city of hope orange county lennar foundation cancer center,city of hope orange county lennar foundation cancer center
06059,92618,city of hope orange county,the city of hope orange county lennar foundation cancer center,the city of hope orange county lennar foundation cancer center
06059,92618,city of hope orange county lennar foundation cancer,city of hope orange county lennar foundation cancer center,city of hope orange county lennar foundation cancer center
06059,92618,city of hope orange county lennar foundation cancer,the city of hope orange county lennar foundation cancer center,the city of hope orange county lennar foundation cancer center
