state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_other_unclassified,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal
29,1897090,1654,7.6,10.6,44.4,32.4,45.8,28.0,10.6,45.8,31.1,0.0,0.0,50.0,43.0,0.0,221.0,166.0,300.0,66.0,Siteman Cancer Center (WashU),"St. Louis, Missouri",7.0,4.0,22.0,7.0,5.0,11.0,8.0,4.0,9.0,3.0,25.0,13.0,2.0,5.0,53.0,10.0,4.0,1.0,1.0,7.0,15.0,5.0,43.0,30.0,54.0,10.0,78.0,1.0,5.0,68.0,123.0,30.0
30,365209,319,22.3,34.0,83.8,37.8,83.8,80.4,34.0,100.0,100.0,0.3,0.3,528.0,234.0,24.0,49.0,40.0,66.0,38.0,Huntsman Cancer Institute (Utah),"Yellowstone, Montana",2.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,0.0,9.0,2.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,18.0,3.0,28.0,0.0,0.0,24.0,5.0,20.0
31,561763,553,16.2,27.7,49.7,38.0,49.7,29.1,28.7,50.8,29.3,0.0,0.0,61.0,60.0,0.0,128.0,86.0,184.0,65.0,Fred & Pamela Buffett Cancer Center (UNMC),"Douglas, Nebraska",2.0,4.0,11.0,7.0,3.0,6.0,4.0,4.0,4.0,1.0,20.0,7.0,0.0,3.0,23.0,7.0,2.0,0.0,1.0,4.0,15.0,3.0,15.0,12.0,35.0,8.0,56.0,0.0,1.0,32.0,83.0,13.0
32,914581,779,4.5,6.7,100.0,9.4,100.0,99.2,6.7,100.0,99.3,0.1,0.1,251.0,269.0,0.0,75.0,71.0,87.0,70.0,City of Hope,"Orange, California",1.0,1.0,10.0,3.0,3.0,9.0,0.0,1.0,4.0,1.0,10.0,4.0,1.0,1.0,16.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,5.0,4.0,19.0,6.0,40.0,0.0,0.0,21.0,41.0,13.0
33,488098,350,1.8,8.3,51.5,30.9,53.2,10.3,10.5,33.1,0.7,0.0,0.0,55.0,63.0,42.0,344.0,20.0,707.0,13.0,Dana-Farber/Harvard Cancer Center,"Suffolk, Massachusetts",9.0,10.0,34.0,7.0,4.0,18.0,12.0,7.0,19.0,2.0,32.0,23.0,1.0,8.0,105.0,20.0,2.0,1.0,2.0,4.0,13.0,8.0,88.0,61.0,99.0,11.0,74.0,3.0,8.0,124.0,194.0,26.0
34,2831809,2181,0.0,0.8,3.4,0.8,3.4,0.0,0.8,5.2,0.0,0.0,0.0,22.0,16.0,0.0,987.0,593.0,1450.0,102.0,Rutgers Cancer Institute of New Jersey,"Bergen, New Jersey",36.0,33.0,83.0,33.0,14.0,45.0,30.0,13.0,41.0,13.0,101.0,61.0,9.0,23.0,278.0,51.0,9.0,4.0,7.0,20.0,62.0,19.0,255.0,171.0,282.0,30.0,205.0,11.0,35.0,363.0,573.0,51.0
35,667452,612,26.2,42.7,65.7,34.6,100.0,100.0,44.5,52.2,42.4,0.0,0.0,68.0,396.0,56.0,56.0,41.0,70.0,33.0,UNM Comprehensive Cancer Center,"Denver, Colorado",0.0,1.0,9.0,3.0,1.0,7.0,1.0,1.0,3.0,1.0,8.0,2.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,16.0,5.0,30.0,0.0,0.0,18.0,27.0,11.0
36,6131885,5396,2.2,5.6,21.7,13.4,21.7,9.8,7.3,24.8,9.6,0.0,0.0,18.0,11.0,0.0,786.0,603.0,1048.0,171.0,Mount Sinai Tisch Cancer Center,"New York, New York",25.0,28.0,65.0,26.0,11.0,36.0,22.0,11.0,34.0,11.0,81.0,49.0,8.0,17.0,225.0,42.0,6.0,3.0,6.0,16.0,50.0,15.0,202.0,139.0,220.0,24.0,165.0,8.0,27.0,281.0,464.0,41.0
37,3150276,2672,0.7,6.7,39.0,25.1,39.8,15.3,12.5,58.7,21.1,0.0,0.0,72.0,43.0,29.0,177.0,85.0,394.0,35.0,Wake Forest Baptist Comprehensive Cancer Center,"Durham, North Carolina",5.0,6.0,19.0,5.0,3.0,11.0,5.0,3.0,13.0,1.0,17.0,12.0,2.0,5.0,40.0,14.0,1.0,1.0,1.0,4.0,9.0,3.0,31.0,25.0,46.0,8.0,62.0,1.0,5.0,51.0,104.0,23.0
38,217828,228,31.0,50.5,100.0,47.7,100.0,100.0,57.2,100.0,100.0,0.0,0.0,418.0,340.0,79.0,30.0,24.0,53.0,23.0,Masonic Cancer Center (Minnesota),"Hennepin, Minnesota",0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2.0,17.0,0.0,0.0,18.0,4.0,8.0
