state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_other_unclassified,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal,acs_no_vehicle,acs_no_vehicle_pop_covered_pct,acs_broadband,acs_broadband_pop_covered_pct,acs_uninsured,acs_uninsured_pop_covered_pct,acs_uninsured_55_64,acs_uninsured_55_64_pop_covered_pct,acs_poverty,acs_poverty_pop_covered_pct,inc_all_rate,inc_all_rate_pop_covered_pct,inc_all_cases_sum
25,2183727,1620,0.2,3.0,9.9,9.5,17.4,0.0,5.3,18.9,0.0,0.0,0.0,31.0,25.0,0.0,597.0,357.0,830.0,76.0,Dana-Farber/Harvard Cancer Center,"Suffolk, Massachusetts",27.0,25.0,86.0,45.0,26.0,66.0,45.0,18.0,60.0,18.0,104.0,60.0,20.0,26.0,39.0,10.0,12.0,36.0,38.0,27.0,192.0,4.0,157.0,115.0,168.0,17.0,121.0,5.0,14.0,199.0,358.0,40.0,11.0,100.0,91.9,100.0,2.6,100.0,2.4,100.0,9.8,100.0,432.9,100.0,38480
26,3211801,3017,3.4,8.5,28.0,21.4,30.1,10.7,7.9,46.9,25.9,0.0,0.0,55.0,33.0,0.0,270.0,156.0,429.0,99.0,University of Michigan Rogel Cancer Center,"Oakland, Michigan",16.0,7.0,34.0,23.0,14.0,26.0,18.0,10.0,15.0,9.0,50.0,18.0,3.0,13.0,15.0,9.0,5.0,15.0,23.0,8.0,77.0,3.0,49.0,44.0,66.0,10.0,92.0,2.0,7.0,74.0,168.0,28.0,7.0,100.0,89.1,100.0,5.1,100.0,4.9,100.0,12.9,100.0,449.6,100.0,58574
27,1712686,1505,3.6,10.4,33.1,22.6,33.0,19.4,10.6,33.7,21.8,0.0,0.0,28.0,27.0,0.0,179.0,129.0,365.0,77.0,Masonic Cancer Center (Minnesota),"Hennepin, Minnesota",9.0,6.0,27.0,12.0,6.0,24.0,10.0,6.0,13.0,4.0,34.0,14.0,4.0,9.0,10.0,4.0,5.0,7.0,15.0,8.0,39.0,0.0,23.0,21.0,46.0,10.0,75.0,1.0,3.0,60.0,95.0,24.0,6.4,100.0,90.5,100.0,4.7,100.0,4.7,100.0,9.3,100.0,487.7,100.0,33838
28,872073,878,17.1,32.8,91.0,70.3,92.2,74.5,36.3,91.6,73.3,0.0,0.0,202.0,208.0,47.0,31.0,15.0,104.0,6.0,St. Jude Children's Research Hospital,"Shelby, Tennessee",2.0,0.0,6.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,9.0,2.0,18.0,0.0,0.0,12.0,14.0,6.0,6.2,100.0,81.5,100.0,11.7,100.0,10.8,100.0,19.2,100.0,474.5,100.0,17194
29,1897090,1654,7.0,10.3,44.4,32.4,45.8,28.0,10.6,45.8,31.1,0.0,0.0,50.0,43.0,0.0,222.0,167.0,299.0,66.0,Siteman Cancer Center (WashU),"St. Louis, Missouri",12.0,5.0,35.0,17.0,11.0,21.0,15.0,9.0,15.0,6.0,42.0,18.0,5.0,10.0,10.0,7.0,5.0,16.0,18.0,9.0,53.0,1.0,43.0,30.0,55.0,10.0,79.0,1.0,5.0,68.0,124.0,30.0,6.3,100.0,87.9,100.0,9.2,100.0,9.3,100.0,12.7,100.0,467.9,100.0,36322
30,365209,319,26.3,37.2,85.3,37.8,83.8,80.4,34.0,100.0,100.0,0.3,0.3,528.0,234.0,24.0,45.0,32.0,65.0,38.0,Huntsman Cancer Institute (Utah),"Yellowstone, Montana",3.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,0.0,8.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,6.0,0.0,0.0,0.0,16.0,3.0,26.0,0.0,0.0,22.0,5.0,18.0,4.6,100.0,87.8,100.0,8.4,100.0,9.5,100.0,12.0,100.0,454.5,100.0,6627
31,561763,553,15.9,27.0,43.6,38.0,49.7,29.1,28.7,50.8,29.3,0.0,0.0,61.0,60.0,0.0,126.0,85.0,184.0,65.0,Fred & Pamela Buffett Cancer Center (UNMC),"Douglas, Nebraska",6.0,5.0,15.0,11.0,7.0,11.0,8.0,7.0,6.0,3.0,25.0,10.0,1.0,5.0,8.0,5.0,3.0,9.0,18.0,5.0,23.0,0.0,16.0,13.0,34.0,8.0,54.0,0.0,1.0,32.0,82.0,11.0,5.1,100.0,89.1,100.0,7.4,100.0,7.2,100.0,10.3,100.0,451.5,100.0,10398
32,914581,779,6.8,8.8,100.0,9.4,100.0,99.2,6.7,100.0,99.3,0.1,0.1,251.0,269.0,0.0,73.0,67.0,84.0,70.0,City of Hope,"Orange, California",4.0,1.0,12.0,4.0,4.0,12.0,2.0,2.0,6.0,2.0,12.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,15.0,0.0,5.0,4.0,19.0,6.0,39.0,0.0,0.0,21.0,39.0,13.0,7.0,100.0,90.2,100.0,11.2,100.0,10.6,100.0,12.5,100.0,385.8,100.0,14414
33,488098,350,1.5,3.7,48.0,30.9,53.2,10.3,10.5,33.1,0.7,0.0,0.0,55.0,63.0,42.0,349.0,22.0,709.0,13.0,Dana-Farber/Harvard Cancer Center,"Suffolk, Massachusetts",16.0,14.0,54.0,27.0,15.0,36.0,25.0,12.0,36.0,10.0,65.0,35.0,12.0,16.0,23.0,6.0,7.0,21.0,21.0,15.0,107.0,2.0,88.0,62.0,100.0,11.0,77.0,3.0,8.0,126.0,198.0,26.0,4.5,100.0,91.7,100.0,5.5,100.0,5.2,100.0,7.3,100.0,473.3,100.0,9072
34,2831809,2181,0.0,0.8,3.5,0.8,3.4,0.0,0.8,5.2,0.0,0.0,0.0,22.0,16.0,0.0,970.0,559.0,1449.0,102.0,Rutgers Cancer Institute of New Jersey,"Bergen, New Jersey",58.0,37.0,126.0,77.0,43.0,93.0,61.0,25.0,76.0,32.0,175.0,87.0,26.0,44.0,55.0,19.0,23.0,58.0,78.0,35.0,273.0,7.0,249.0,168.0,275.0,30.0,203.0,10.0,34.0,354.0,566.0,50.0,10.3,100.0,91.8,100.0,7.1,100.0,6.6,100.0,9.5,100.0,478.1,100.0,55323
