rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
1,153,Jackson-Madison County General Hospital,0,Jackson,TN,38301,Madison,47113,100161,121438,152,0,1,zip,1.9,35.588164,-88.853395,registry_stand_in
2,140,Jackson,1,Jackson,TN,38305,Madison,47113,97183,128437,144,0,1,zip,2.0,35.701654,-88.768058,registry_stand_in
3,141,"The Jackson Clinic, PA",0,Jackson,TN,38305,Madison,47113,97183,128437,144,0,2,zip,2.0,35.701654,-88.768058,registry_stand_in
4,84,Central Recruiting Site,1,Sheffield,AL,35660,Colbert,01033,78903,171832,149,0,1,zip,0.2,34.758412,-87.696542,registry_stand_in
5,94,"Northwest Alabama Cancer Center, PC",0,Muscle Shoals,AL,35661,Colbert,01033,75386,153281,132,0,2,zip,0.8,34.768526,-87.562802,registry_stand_in
6,229,Idaho Falls,1,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
7,230,Institute of Arthritis Research,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
8,231,Leavitt Womens Healthcare,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
9,232,Research Center,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,1,zip,3.2,43.426779,-112.015502,registry_stand_in
10,233,Site reference,1,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,1,zip,3.2,43.426779,-112.015502,registry_stand_in
11,234,"Womens Healthcare Assoc, DBA",0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,3,zip,3.2,43.426779,-112.015502,registry_stand_in
12,259,Arrivent Investigative Site,1,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
13,260,GSK Investigational Site,1,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
14,261,Onvida Health Yuma Medical Center,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,2,zip,0.5,32.704556,-114.656304,registry_stand_in
15,262,Yuma Cancer Center,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
16,263,Yuma Regional Cancer Center,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,2,zip,0.5,32.704556,-114.656304,registry_stand_in
17,264,Yuma Regional Medical Center,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,10,zip,0.5,32.704556,-114.656304,registry_stand_in
18,265,Yuma Regional Medical Center Cancer Center,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,3,zip,0.5,32.704556,-114.656304,registry_stand_in
19,266,Yuma Regional Medical Center (JIT,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
20,267,Yuma Regional Medical Center Ophthalmology,0,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
21,278,Bingham Memorial Hospital,0,Blackfoot,ID,83221,Bingham,16011,69408,69408,62,0,2,zip,7.5,43.294732,-112.512503,registry_stand_in
22,228,Mercy Regional Cancer Center,0,Redding,CA,96001,Shasta,06089,63834,75558,57,0,4,zip,0.7,40.577176,-122.454715,registry_stand_in
23,245,Mercy Oncology Center,0,Redding,CA,96002,Shasta,06089,62135,73859,56,0,4,zip,2.5,40.527769,-122.318645,registry_stand_in
24,312,Mountain View Hospital,0,Idaho Falls,ID,83401,Bonneville,16019,55047,58608,57,0,2,zip,3.4,43.542409,-111.877936,registry_stand_in
25,285,Texas Institute for Kidney and Endocrine Disorders,0,Lufkin,TX,75904,Angelina,48005,53706,67516,67,0,1,zip,0.9,31.32705,-94.839618,registry_stand_in
26,279,June E. Nylan Cancer Center,0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,1,zip,0.3,42.493688,-96.394184,registry_stand_in
27,280,June E. Nylen Cancer Center,0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,1,zip,0.3,42.493688,-96.394184,registry_stand_in
28,281,"Siouxland Hematology - Oncology Associates, LLP",0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,1,zip,0.3,42.493688,-96.394184,registry_stand_in
29,282,Siouxland Regioinal Cancer Center dba June E. Nylen Cancer Center,0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,1,zip,0.3,42.493688,-96.394184,registry_stand_in
30,283,Siouxland Regional Cancer Center,0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,32,zip,0.3,42.493688,-96.394184,registry_stand_in
31,284,Siouxland Regional Cancer Center dba June E.Nylen Cancer Center,0,Sioux City,IA,51101,Woodbury,19193,53585,68731,72,0,2,zip,0.3,42.493688,-96.394184,registry_stand_in
32,334,The West Clinic - Corinth,0,Corinth,MS,38834,Alcorn,28003,53424,54863,116,0,2,zip,0.9,34.917816,-88.559666,registry_stand_in
33,377,Island Urology-Hilo,0,Hilo,HI,96720,Hawaii,15001,44819,44819,34,0,8,zip,2.5,19.65981,-155.232473,registry_stand_in
34,3,North Alabama Research Center LLC,0,Athens,AL,35611,Limestone,01083,43109,276578,238,0,1,zip,1.2,34.773833,-87.084145,registry_stand_in
35,317,IU Health Bloomington,0,Bloomington,IN,47403,Monroe,18105,40431,57111,275,0,1,zip,2.2,39.085219,-86.61234,registry_stand_in
36,318,IU Health Bloomington Hospital,0,Bloomington,IN,47403,Monroe,18105,40431,57111,275,0,1,zip,2.2,39.085219,-86.61234,registry_stand_in
37,454,Champlain Valley Physicians Hospital Medical Center,0,Plattsburgh,NY,12901,Clinton,36019,38337,38337,42,0,1,zip,0.6,44.709098,-73.473547,registry_stand_in
38,340,Union Hospital,0,Terre Haute,IN,47804,Vigo,18167,38090,53463,134,0,23,zip,0.9,39.497817,-87.390537,registry_stand_in
39,341,Indiana University,0,Bloomington,IN,47405,Monroe,18105,34713,53085,370,0,2,zip,1.0,39.167655,-86.521101,registry_stand_in
40,86,Cancer Center of Middle Georgia,0,Dublin,GA,31021,Laurens,13175,32771,164679,175,0,2,zip,0.1,32.489539,-82.934985,registry_stand_in
41,227,Andalusia,1,Andalusia,AL,36420,Covington,01039,28598,76116,71,0,2,zip,1.5,31.177149,-86.551502,registry_stand_in
42,332,Pinnacle Research Group,0,Anniston,AL,36207,Calhoun,01015,27237,55240,130,0,1,zip,3.5,33.684121,-85.705195,registry_stand_in
43,333,"Pinnacle Research Group, Llc",0,Anniston,AL,36207,Calhoun,01015,27237,55240,130,0,1,zip,3.5,33.684121,-85.705195,registry_stand_in
44,418,Faith Regional Health Services Carson Cancer Center,0,Norfolk,NE,68701,Madison,31119,24717,41774,37,0,7,zip,0.3,42.019825,-97.442556,registry_stand_in
45,419,Faith Regional Medical Offices West,0,Norfolk,NE,68701,Madison,31119,24717,41774,37,0,1,zip,0.3,42.019825,-97.442556,registry_stand_in
46,420,Meridian Clinical Research Norfolk,0,Norfolk,NE,68701,Madison,31119,24717,41774,37,0,2,zip,0.3,42.019825,-97.442556,registry_stand_in
47,421,Norfolk,1,Norfolk,NE,68701,Madison,31119,24717,41774,37,0,2,zip,0.3,42.019825,-97.442556,registry_stand_in
48,224,Georgia Cancer Specialists - Blairsville,0,Blairsville,GA,30512,Union,13291,24296,77438,149,0,1,zip,0.9,34.856753,-83.967998,registry_stand_in
49,225,"Northside Hospital,308 Deep South Farm Rd, Suite 200",0,Blairsville,GA,30512,Union,13291,24296,77438,149,0,2,zip,0.9,34.856753,-83.967998,registry_stand_in
50,226,"Northside Hospital, Inc. - GCS/Blairsville",0,Blairsville,GA,30512,Union,13291,24296,77438,149,0,2,zip,0.9,34.856753,-83.967998,registry_stand_in
51,467,Unity Health- Searcy Medical Center,0,Searcy,AR,72143,White,05145,22456,37571,123,0,1,zip,0.5,35.226714,-91.736844,registry_stand_in
52,468,Unity Health-White County Medical Center,0,Searcy,AR,72143,White,05145,22456,37571,123,0,1,zip,0.5,35.226714,-91.736844,registry_stand_in
53,590,Prairie Lakes Cancer Center,0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,1,zip,0.7,44.936722,-97.092757,registry_stand_in
54,591,Prairie Lakes Health Care,0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,1,zip,0.7,44.936722,-97.092757,registry_stand_in
55,592,Prairie Lakes Health Care System,0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,1,zip,0.7,44.936722,-97.092757,registry_stand_in
56,593,"Prairie Lakes Health Care System, Inc.",0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,2,zip,0.7,44.936722,-97.092757,registry_stand_in
57,594,Prairie Lakes Healthcare,0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,1,zip,0.7,44.936722,-97.092757,registry_stand_in
58,595,Prairie Lakes Healthcare System,0,Watertown,SD,57201,Codington,46029,22269,25709,29,0,3,zip,0.7,44.936722,-97.092757,registry_stand_in
59,422,Harbin Clinic Medical Oncology and Clinical Research,0,Rome,GA,30165,Floyd,13115,21244,41325,362,0,4,zip,3.4,34.315788,-85.295122,registry_stand_in
60,548,Moses Lake Clinic,0,Moses Lake,WA,98837,Grant,53025,20180,27809,26,0,1,zip,1.9,47.146993,-119.315908,registry_stand_in
61,711,GenesisCare USA - Key West,0,Key West,FL,33040,Monroe,12087,19700,19700,17,0,5,zip,7.5,24.54461,-81.921737,registry_stand_in
62,508,Calaway-Young Cancer Center at Valley View Hospital,0,Glenwood Springs,CO,81601,Garfield,08045,18357,32197,28,0,1,zip,2.0,39.587562,-107.338712,registry_stand_in
63,509,Valley View Hospital,0,Glenwood Springs,CO,81601,Garfield,08045,18357,32197,28,0,1,zip,2.0,39.587562,-107.338712,registry_stand_in
64,510,Valley View Hospital Cancer Center,0,Glenwood Springs,CO,81601,Garfield,08045,18357,32197,28,0,6,zip,2.0,39.587562,-107.338712,registry_stand_in
65,507,Lake Region Healthcare Corporation-Cancer Care,0,Fergus Falls,MN,56537,Otter Tail,27111,17685,32837,65,0,52,zip,0.8,46.276711,-96.091938,registry_stand_in
66,477,Ottumwa Regional Health Center,0,Ottumwa,IA,52501,Wapello,19179,16538,36451,57,0,2,zip,0.7,41.044369,-92.42906,registry_stand_in
67,539,786-C,0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,1,zip,0.7,33.581851,-85.132439,registry_stand_in
68,540,835 - B,0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,1,zip,0.7,33.581851,-85.132439,registry_stand_in
69,541,835-D,0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,1,zip,0.7,33.581851,-85.132439,registry_stand_in
70,542,835-F,0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,1,zip,0.7,33.581851,-85.132439,registry_stand_in
71,543,"Northwest Georgia Oncology Centers, a Service of Tanner Medical Center Villa Rica",0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,2,zip,0.7,33.581851,-85.132439,registry_stand_in
72,544,"Northwest Georgia Oncology Centers, a Service of Wellstar Cobb Hospital",0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,2,zip,0.7,33.581851,-85.132439,registry_stand_in
73,545,"Northwest Georgia Oncology Northwest Georgia Oncology Centers, PCCenters, PC,157 Clinic Avenue",0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,1,zip,0.7,33.581851,-85.132439,registry_stand_in
74,546,"West Georgia Infusion Center, a Service of Tanner Medical Center Villa Rica",0,Carrollton,GA,30117,Carroll,13045,16502,28760,760,0,2,zip,0.7,33.581851,-85.132439,registry_stand_in
75,478,Genesis Cancer and Blood Institute - 1123,0,Russellville,AR,72801,Pope,05115,15549,35998,73,0,1,zip,0.5,35.28058,-93.141594,registry_stand_in
76,805,Regional West Medical Center,0,Scottsbluff,NE,69361,Sioux,31165,14999,14999,14,0,1,zip,9.0,42.102096,-103.566082,registry_stand_in
77,806,Regional West Medical Center Cancer Center,0,Scottsbluff,NE,69361,Sioux,31165,14999,14999,14,0,8,zip,9.0,42.102096,-103.566082,registry_stand_in
78,289,CHRISTUS St. Michael-Colom and Carney Clinic P.A,0,Texarkana,TX,75503,Bowie,48037,14711,63990,74,0,1,zip,4.4,33.51791,-94.13711,registry_stand_in
79,532,JCHC McCreery Cancer Center,0,Fairfield,IA,52556,Jefferson,19101,13189,30223,49,0,2,zip,1.5,41.024219,-91.927519,registry_stand_in
80,443,West Virginia School of Osteopathic Medicine,0,Lewisburg,WV,24901,Greenbrier,54025,12376,40086,63,0,1,zip,0.6,37.853926,-80.484563,registry_stand_in
81,613,St. Jude Children's Research Hospital,0,Memphis,TN,38015,Tipton,47167,12355,24893,331,0,1,zip,0.5,35.559364,-89.824229,registry_stand_in
82,194,USOR - Arizona Oncology Associates - Sedona,0,Sedona,AZ,86336,Yavapai,04025,11766,91385,64,1,1,zip,2.6,34.878547,-111.858031,registry_stand_in
83,85,Russell Medical,0,Alexander City,AL,35010,Tallapoosa,01123,11455,169981,216,0,1,zip,0.4,32.916719,-85.940589,registry_stand_in
84,877,"Saint Bernards Medical Center,4000 Linwood Drive",0,Paragould,AR,72450,Greene,05055,11396,11396,86,0,1,zip,1.1,36.079547,-90.51644,registry_stand_in
85,878,St. Bernard's Medical Center,0,Paragould,AR,72450,Greene,05055,11396,11396,86,0,1,zip,1.1,36.079547,-90.51644,registry_stand_in
86,311,Barnum Medical Research,0,Natchitoches,LA,71457,Natchitoches,22069,11090,60295,79,0,1,zip,0.4,31.739201,-93.091426,registry_stand_in
87,888,568-A,0,Safford,AZ,85546,Graham,04009,10427,10427,10,0,1,zip,6.7,32.699939,-109.588569,registry_stand_in
88,889,568-B,0,Safford,AZ,85546,Graham,04009,10427,10427,10,0,1,zip,6.7,32.699939,-109.588569,registry_stand_in
89,890,568-C,0,Safford,AZ,85546,Graham,04009,10427,10427,10,0,1,zip,6.7,32.699939,-109.588569,registry_stand_in
90,891,568-D,0,Safford,AZ,85546,Graham,04009,10427,10427,10,0,1,zip,6.7,32.699939,-109.588569,registry_stand_in
91,892,568-E,0,Safford,AZ,85546,Graham,04009,10427,10427,10,0,1,zip,6.7,32.699939,-109.588569,registry_stand_in
92,516,Southwestern Vermont Medical Center,0,Bennington,VT,05201,Bennington,50003,9195,31701,355,0,4,zip,1.4,42.869216,-73.128532,registry_stand_in
93,547,Cheshire Medical Center,0,Keene,NH,03431,Cheshire,33005,9195,28140,319,0,1,zip,0.4,42.969069,-72.301965,registry_stand_in
94,554,Baystate Franklin Medical Center,0,Greenfield,MA,01301,Franklin,25011,9195,27563,400,0,1,zip,0.9,42.626761,-72.60153,registry_stand_in
95,499,Rheumatology and Pulmonary Clinic,0,Beckley,WV,25801,Raleigh,54081,9177,33677,109,0,1,zip,1.2,37.840601,-81.270723,registry_stand_in
96,808,942-G,0,Liberal,KS,67901,Seward,20175,9069,14942,20,0,2,zip,2.1,37.097866,-100.895222,registry_stand_in
97,809,Southwest Medical Center,0,Liberal,KS,67901,Seward,20175,9069,14942,20,0,1,zip,2.1,37.097866,-100.895222,registry_stand_in
98,175,The Arthritis and Diabetes Clinic,0,Monroe,LA,71203,Ouachita,22073,8741,101433,105,5,1,zip,1.5,32.581991,-92.018572,registry_stand_in
99,176,"The Arthritis & Diabetes Clinic, Inc.",0,Monroe,LA,71203,Ouachita,22073,8741,101433,105,5,2,zip,1.5,32.581991,-92.018572,registry_stand_in
100,313,Mercy Medical Center - North Iowa,0,Mason City,IA,50401,Cerro Gordo,19033,8425,58382,63,0,1,zip,0.1,43.154082,-93.199836,registry_stand_in
101,797,CARTI Stuttgart,0,Stuttgart,AR,72160,Arkansas,05001,8144,15682,81,0,1,zip,2.5,34.442806,-91.529738,registry_stand_in
102,827,Freeport Memorial Hospital/Leonard C Ferguson Cancer Center,0,Freeport,IL,61032,Stephenson,17177,7975,13673,210,0,4,zip,0.2,42.318865,-89.636977,registry_stand_in
103,469,Commonwealth Cancer Center - Frankfort,0,Danville,KY,40422,Boyle,21021,7608,37446,301,0,1,zip,0.3,37.644519,-84.806497,registry_stand_in
104,470,Commonwealth Hematology,0,Danville,KY,40422,Boyle,21021,7608,37446,301,0,1,zip,0.3,37.644519,-84.806497,registry_stand_in
105,471,"Commonwealth Hematology-Oncology, PSC",0,Danville,KY,40422,Boyle,21021,7608,37446,301,0,1,zip,0.3,37.644519,-84.806497,registry_stand_in
106,964,Cancer And Blood Spclsts of AZ,0,Casa Grande,AZ,85122,Pinal,04021,7476,7476,782,4,1,zip,0.6,32.916724,-111.747972,registry_stand_in
107,723,Aclaris Investigational Site,1,Plainfield,IN,46168,Hendricks,18063,5840,19124,579,6,1,zip,1.0,39.68999,-86.392709,registry_stand_in
108,724,Cohort 2: The Indiana Clinical Trials Center,0,Plainfield,IN,46168,Hendricks,18063,5840,19124,579,6,1,zip,1.0,39.68999,-86.392709,registry_stand_in
109,725,The Indiana Clinical Trials Center,0,Plainfield,IN,46168,Hendricks,18063,5840,19124,579,6,3,zip,1.0,39.68999,-86.392709,registry_stand_in
110,726,"The Indiana Clinical Trials Center, PC",0,Plainfield,IN,46168,Hendricks,18063,5840,19124,579,6,7,zip,1.0,39.68999,-86.392709,registry_stand_in
111,951,Oklahoma University,0,Norman,OK,73019,Cleveland,40027,5538,7838,450,1,1,zip,0.2,35.205661,-97.442738,registry_stand_in
112,952,University of Oklahoma,0,Norman,OK,73019,Cleveland,40027,5538,7838,450,1,1,zip,0.2,35.205661,-97.442738,registry_stand_in
113,614,786-A,0,Cartersville,GA,30121,Bartow,13015,5296,24871,1225,0,1,zip,0.3,34.211854,-84.77693,registry_stand_in
114,615,835-A,0,Cartersville,GA,30121,Bartow,13015,5296,24871,1225,0,1,zip,0.3,34.211854,-84.77693,registry_stand_in
115,616,835 - C,0,Cartersville,GA,30121,Bartow,13015,5296,24871,1225,0,1,zip,0.3,34.211854,-84.77693,registry_stand_in
116,617,"Northwest Georgia Oncology Centers, a Service of WellStar Cobb Hospital",0,Cartersville,GA,30121,Bartow,13015,5296,24871,1225,0,2,zip,0.3,34.211854,-84.77693,registry_stand_in
117,618,"Northwest Georgia Oncology Northwest Georgia Oncology Centers, PCCenters, PC,100 Market Place Blvd",0,Cartersville,GA,30121,Bartow,13015,5296,24871,1225,0,1,zip,0.3,34.211854,-84.77693,registry_stand_in
118,183,Epic Medical Research - Monroe,0,Monroe,LA,71201,Ouachita,22073,5134,97826,100,5,1,zip,1.0,32.539557,-92.106941,registry_stand_in
119,777,Lallie Kemp Regional Medical Center,0,Independence,LA,70443,Tangipahoa,22105,4513,16598,323,2,1,zip,1.3,30.630554,-90.542882,registry_stand_in
120,1066,Seattle Cancer Care Alliance,0,Seattle,WA,98331,Jefferson,53031,4345,4345,4,2,1,zip,12.3,47.745828,-124.180639,registry_stand_in
121,883,FMC Science,0,Lampasas,TX,76550,Lampasas,48281,4065,10973,196,0,3,zip,1.1,31.102626,-98.259776,registry_stand_in
122,631,Skin & Allergy Center,0,Spring Hill,TN,37174,Maury,47119,4049,23861,388,0,1,zip,1.1,35.719255,-86.898188,registry_stand_in
123,997,Intend Research,0,Norman,OK,73069,Cleveland,40027,3902,6202,449,1,1,zip,0.7,35.252521,-97.464398,registry_stand_in
124,329,Cape Cod Healthcare Center,0,Hyannis,MA,02601,Barnstable,25001,3884,55538,331,0,1,zip,0.4,41.661161,-70.293197,registry_stand_in
125,330,Cape Cod Hospital,0,Hyannis,MA,02601,Barnstable,25001,3884,55538,331,0,3,zip,0.4,41.661161,-70.293197,registry_stand_in
126,126,Adriana Pop Moody MD Clinic PA,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
127,127,Christus Health Spohn Ministry,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
128,128,CHRISTUS Institute for Innovation & Advanced Clinical Care,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
129,129,CHRISTUS Spohn Cancer Center,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
130,130,CHRISTUS Spohn Cancer Center - Shoreline,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
131,131,Coastal Bend Cancer Center,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,2,zip,1.0,27.767919,-97.399444,registry_stand_in
132,132,Ra0098 128,0,Corpus Christi,TX,78404,Nueces,48355,3804,146645,148,2,1,zip,1.0,27.767919,-97.399444,registry_stand_in
133,839,Texas Oncology P A,0,Austin,TX,78121,Wilson,48493,3731,12996,487,0,1,zip,0.9,29.351052,-98.088866,registry_stand_in
134,96,SUN-131-03 Investigational Site,1,Florence,SC,29501,Florence,45041,3607,150897,190,3,1,zip,1.2,34.204581,-79.82697,registry_stand_in
135,727,Medical University of South Carolina,0,Charleston,SC,29435,Colleton,45029,3600,18718,227,0,1,zip,1.4,32.953108,-80.466101,registry_stand_in
136,173,"Arizona Oncology Associates, PC - HAL",0,Prescott Valley,AZ,86314,Yavapai,04025,3592,101449,61,1,1,zip,2.8,34.598251,-112.33074,registry_stand_in
137,174,"Arizona Oncology Associates, PC - NAHOA Prescott Valley",0,Prescott Valley,AZ,86314,Yavapai,04025,3592,101449,61,1,1,zip,2.8,34.598251,-112.33074,registry_stand_in
138,1031,SSM Health Dean Medical Group - Baraboo,0,Baraboo,WI,53913,Sauk,55111,3572,5173,195,0,2,zip,1.3,43.492773,-89.72873,registry_stand_in
139,243,Appalachian Regional Healthcare,0,Hazard,KY,41701,Perry,21193,3523,74497,88,0,1,zip,0.4,37.295501,-83.182614,registry_stand_in
140,244,Kentucky Cancer Clinic,0,Hazard,KY,41701,Perry,21193,3523,74497,88,0,1,zip,0.4,37.295501,-83.182614,registry_stand_in
141,728,Cancer Center of Kansas - Fort Scott,0,Fort Scott,KS,66701,Bourbon,20011,3456,18603,52,0,15,zip,2.4,37.829814,-94.758937,registry_stand_in
142,804,Riverside Shore Cancer Center,0,Onancock,VA,23417,Accomack,51001,3388,15088,36,0,4,zip,1.9,37.732134,-75.761995,registry_stand_in
143,846,SUN-131-03 Investigational Site,1,Exmore,VA,23350,Northampton,51131,3388,12614,189,0,1,zip,1.5,37.512705,-75.862593,registry_stand_in
144,930,786-B,0,Hiram,GA,30141,Paulding,13223,3344,8697,1380,0,1,zip,0.6,33.860444,-84.769846,registry_stand_in
145,931,"Northwest Georgia Oncology Centers, a Service of WellStar Cobb Hospital",0,Hiram,GA,30141,Paulding,13223,3344,8697,1380,0,1,zip,0.6,33.860444,-84.769846,registry_stand_in
146,932,WellStar Paulding Hospital,0,Hiram,GA,30141,Paulding,13223,3344,8697,1380,0,1,zip,0.6,33.860444,-84.769846,registry_stand_in
147,72,GCS/Macon,0,Macon,GA,31217,Jones,13169,3254,184818,199,0,1,zip,0.9,32.844147,-83.500044,registry_stand_in
148,73,Georgia Cancer Specialists - Macon,0,Macon,GA,31217,Jones,13169,3254,184818,199,0,1,zip,0.9,32.844147,-83.500044,registry_stand_in
149,74,"Northside Hospital,308 Coliseum Dr.",0,Macon,GA,31217,Jones,13169,3254,184818,199,0,2,zip,0.9,32.844147,-83.500044,registry_stand_in
150,75,"Northside Hospital, Inc. - GCS/Macon",0,Macon,GA,31217,Jones,13169,3254,184818,199,0,2,zip,0.9,32.844147,-83.500044,registry_stand_in
151,1034,Mayo Clinic Health System-Franciscan Healthcare,0,Sparta,WI,54656,Monroe,55081,2995,4955,82,0,1,zip,1.7,43.990087,-90.80319,registry_stand_in
152,882,Newman Regional Health,0,Emporia,KS,66801,Lyon,20111,2919,11026,73,0,2,zip,0.1,38.411743,-96.223507,registry_stand_in
153,1061,Dartmouth Cancer Center - Nashua,0,Nashua,NH,03063,Hillsborough,33011,2780,4396,1337,13,15,zip,0.4,42.7821,-71.518366,registry_stand_in
154,1062,Norris Cotton Cancer Center-Nashua,0,Nashua,NH,03063,Hillsborough,33011,2780,4396,1337,13,4,zip,0.4,42.7821,-71.518366,registry_stand_in
155,1063,Saint Joseph Hospital,0,Nashua,NH,03060,Hillsborough,33011,2780,4396,1390,13,2,zip,0.4,42.741087,-71.458266,registry_stand_in
156,1064,St. Joseph Hospital,0,Nashua,NH,03060,Hillsborough,33011,2780,4396,1390,13,1,zip,0.4,42.741087,-71.458266,registry_stand_in
157,331,Olympic Medical Center,0,Port Angeles,WA,98362,Clallam,53009,2721,55276,39,0,1,zip,4.6,48.030261,-123.329376,registry_stand_in
158,442,WMCHealth Heart and Vascular Institute Kingston Division of Cardiology,0,Kingston,NY,12401,Ulster,36111,2602,40273,419,0,1,zip,0.8,41.987541,-74.010273,registry_stand_in
159,533,Local Institution - Unk077,0,Rhinebeck,NY,12572,Dutchess,36027,2602,29757,384,7,1,zip,1.3,41.924885,-73.863664,registry_stand_in
160,744,Baystate Gynecologic Oncology,0,Springfield,MA,01107,Hampden,25013,2590,17860,788,15,1,zip,0.5,42.12106,-72.607068,registry_stand_in
161,990,786-D,0,Douglasville,GA,30134,Douglas,13097,2542,6250,1380,0,1,zip,1.9,33.77752,-84.78139,registry_stand_in
162,991,835-B,0,Douglasville,GA,30134,Douglas,13097,2542,6250,1380,0,1,zip,1.9,33.77752,-84.78139,registry_stand_in
163,992,835 - D,0,Douglasville,GA,30134,Douglas,13097,2542,6250,1380,0,1,zip,1.9,33.77752,-84.78139,registry_stand_in
164,993,"Northwest Georgia Oncology Centers, a Service of WellStar Cobb Hospital",0,Douglasville,GA,30134,Douglas,13097,2542,6250,1380,0,2,zip,1.9,33.77752,-84.78139,registry_stand_in
165,994,Northwest Georgia Oncology Centers PC,0,Douglasville,GA,30134,Douglas,13097,2542,6250,1380,0,1,zip,1.9,33.77752,-84.78139,registry_stand_in
166,299,Mount Nittany Medical Center,0,State College,PA,16803,Centre,42027,2531,61461,148,0,2,zip,0.2,40.808517,-77.894436,registry_stand_in
167,335,Endo,0,State College,PA,16801,Centre,42027,2531,54537,145,0,1,zip,0.2,40.78521,-77.842297,registry_stand_in
168,336,Geisinger Medical Group,0,State College,PA,16801,Centre,42027,2531,54537,145,0,32,zip,0.2,40.78521,-77.842297,registry_stand_in
169,88,Piedmont Columbus Regional Research Institute,0,Columbus,GA,31901,Muscogee,13215,2195,154853,210,4,1,zip,0.5,32.46435,-84.980144,registry_stand_in
170,782,MUSC Hollings Cancer Center,0,Charleston,SC,29485,Dorchester,45035,2146,16148,217,0,1,zip,0.5,32.933189,-80.207197,registry_stand_in
171,783,Palmetto Clinical Research,0,Summerville,SC,29485,Dorchester,45035,2146,16148,217,0,1,zip,0.5,32.933189,-80.207197,registry_stand_in
172,784,Summerville,1,Summerville,SC,29485,Dorchester,45035,2146,16148,217,0,2,zip,0.5,32.933189,-80.207197,registry_stand_in
173,159,Northwest Florida Clinical Research Group,0,Gulf Breeze,FL,32561,Escambia,12033,2131,114169,192,13,2,zip,1.9,30.340667,-87.116593,registry_stand_in
174,799,Rutland Regional Medical Center,0,Rutland,VT,05701,Rutland,50021,1876,15292,117,0,1,zip,2.2,43.624582,-72.910192,registry_stand_in
175,215,Graves Gilbert Clinic,0,Bowling Green,KY,42101,Warren,21227,1823,78172,117,1,2,zip,1.6,37.058097,-86.463061,registry_stand_in
