rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
518,397,"San Juan Oncology Associates, PC",0,Farmington,NM,87401,San Juan,35045,0,43159,40,7,2,zip,0.9,36.738158,-108.183294,registry_stand_in
519,398,Site reference,1,Hamlet,NC,28345,Richmond,37153,0,42662,273,0,1,zip,0.4,34.870288,-79.66564,registry_stand_in
520,399,Cancer Care of Western North Carolina,0,Asheville,NC,28801,Buncombe,37021,0,42358,289,12,2,zip,0.2,35.594539,-82.557972,registry_stand_in
521,400,Mission Hospital_ Cancer Care of Western North Carolina,0,Asheville,NC,28801,Buncombe,37021,0,42358,289,12,1,zip,0.2,35.594539,-82.557972,registry_stand_in
522,401,"Mission Hospital, Inc",0,Asheville,NC,28801,Buncombe,37021,0,42358,289,12,1,zip,0.2,35.594539,-82.557972,registry_stand_in
523,402,Mission Hospital Inc-Memorial Campus,0,Asheville,NC,28801,Buncombe,37021,0,42358,289,12,1,zip,0.2,35.594539,-82.557972,registry_stand_in
524,403,Mission Hospital - Memorial Campus,0,Asheville,NC,28801,Buncombe,37021,0,42358,289,12,2,zip,0.2,35.594539,-82.557972,registry_stand_in
525,404,554D,0,Wichita Falls,TX,76310,Archer,48009,0,42341,71,5,1,zip,2.2,33.805189,-98.528479,registry_stand_in
526,405,Texas Oncology P A 1,0,Wichita Falls,TX,76310,Archer,48009,0,42341,71,5,1,zip,2.2,33.805189,-98.528479,registry_stand_in
527,406,Texas Oncology - Wichita Falls,0,Wichita Falls,TX,76310,Archer,48009,0,42341,71,5,1,zip,2.2,33.805189,-98.528479,registry_stand_in
528,407,Texas Oncology-Wichita Falls Texoma Cancer Center,0,Wichita Falls,TX,76310,Archer,48009,0,42341,71,5,2,zip,2.2,33.805189,-98.528479,registry_stand_in
529,408,Texas Oncology-Wichital Falls Texoma Cancer Center,0,Wichita Falls,TX,76310,Archer,48009,0,42341,71,5,1,zip,2.2,33.805189,-98.528479,registry_stand_in
530,409,801-F,0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
531,410,928-F,0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
532,411,Clinical Trial Site,1,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
533,412,Sarah Cannon and HCA Research Institute,0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
534,413,"Tennessee Oncology, LLC",0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
535,414,Tennessee Oncology - Murfreesboro Clinic,0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
536,415,Tennessee Oncology - MURFREESBORO - SCRI - PPDS,0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,1,zip,1.0,35.929834,-86.450822,registry_stand_in
537,416,"Tennessee Oncology, PLLC",0,Murfreesboro,TN,37129,Rutherford,47149,0,42264,461,7,7,zip,1.0,35.929834,-86.450822,registry_stand_in
