nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree,first_pass_label,first_pass_agree,note
NCT07582172,Total Marrow and Lymphoid Irradiation in Combination With Fludarabine and Melphalan as Conditioning for Allogeneic Peripheral Blood Stem Cell Hematopoietic Cell Transplant in Older Patients With Refractory and Relapsed Acute Myeloid Leukemia and High-risk Myelodysplastic Syndrome,Acute Myeloid Leukemia With Complex Karyotype;Myelodysplastic Chronic Myelomonocytic Leukemia;Myelodysplastic Syndrome;Recurrent Acute Myeloid Leukemia;Recurrent Myelodysplastic Chronic Myelomonocytic Leukemia;Recurrent Myelodysplastic Syndrome;Recurrent Secondary Acute Myeloid Leukemia;Refractory Acute Myeloid Leukemia;Refractory Myelodysplastic Chronic Myelomonocytic Leukemia;Refractory Myelodysplastic Syndrome;Refractory Secondary Acute Myeloid Leukemia,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT06723236,A Study of MGC028 in Participants With Advanced Solid Tumors,Advanced Solid Tumors;NSCLC Adenocarcinoma;Cholangiocarcinoma;Pancreatic Carcinoma;Colorectal Carcinoma,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;liver_biliary;lung;pancreatic,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT06636734,"Lovastatin and Pembrolizumab for the Treatment of Patients With Recurrent or Metastatic Head and Neck Cancer, LAPP Trial",Clinical Stage IV HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8;Human Papillomavirus-Related Neck Squamous Cell Carcinoma of Unknown Primary;Metastatic Head and Neck Squamous Cell Carcinoma;Metastatic Hypopharyngeal Squamous Cell Carcinoma;Metastatic Laryngeal Squamous Cell Carcinoma;Metastatic Nasopharyngeal Squamous Cell Carcinoma;Metastatic Oral Cavity Squamous Cell Carcinoma;Metastatic Oropharyngeal Squamous Cell Carcinoma;Metastatic Paranasal Sinus Squamous Cell Carcinoma;Recurrent Head and Neck Squamous Cell Carcinoma;Recurrent Hypopharyngeal Squamous Cell Carcinoma;Recurrent Laryngeal Squamous Cell Carcinoma;Recurrent Nasopharyngeal Squamous Cell Carcinoma;Recurrent Oral Cavity Squamous Cell Carcinoma;Recurrent Oropharyngeal Squamous Cell Carcinoma;Recurrent Paranasal Sinus Squamous Cell Carcinoma;Stage IV Hypopharyngeal Carcinoma AJCC v8;Stage IV Laryngeal Cancer AJCC v8;Stage IV Lip and Oral Cavity Cancer AJCC v8;Stage IV Nasopharyngeal Carcinoma AJCC v8;Stage IV Oropharyngeal (p16-Negative) Carcinoma AJCC v8;Stage IV Sinonasal Cancer AJCC v8,Head & neck,,head_neck,Head & neck,1,Multiple cancer types / basket or umbrella,0,
NCT05286814,"PDS01ADC in Combination With Hepatic Artery Infusion Pump (HAIP) and Systemic Therapy for Subjects With Metastatic Colorectal Cancer, Intrahepatic Cholangiocarcinoma, or Metastatic Adrenocortical Carcinoma",Metastatic Colorectal Cancer (Mcrc);Intrahepatic Cholangiocarcinoma (Icc);Intrahepatic Bile Duct Cancer;Colorectal Neoplasms;Colorectal Cancer;Cholangiocarcinoma;Bile Duct Neoplasms;Bile Duct Cancer;Adrenocortical Carcinoma (ACC);Adrenal Cortical Carcinoma;Adrenal Gland Cancer;Adrenal Gland Neoplasms;Adrenal Cortex Neoplasms,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;liver_biliary;neuroendocrine_endocrine,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT04529044,177Lu-DOTATATE for the Treatment of Stage IV or Recurrent Breast Cancer,Anatomic Stage IV Breast Cancer AJCC v8;Metastatic Breast Carcinoma;Recurrent Breast Carcinoma,Breast,,breast,Breast,1,Breast,1,
NCT07605416,"Testing an Experimental Approach to Treat Patients With Plasma Cell Leukemia, The QUANTUM Trial",Plasma Cell Leukemia,Myeloma & plasma cell,,myeloma,Myeloma & plasma cell,1,Multiple cancer types / basket or umbrella,0,
NCT04744116,Addition of Cord Blood Tissue-Derived Mesenchymal Stromal Cells to Ruxolitinib for the Treatment of Steroid-Refractory Acute Graft Versus Host Disease,Hematopoietic and Lymphoid Cell Neoplasm;Steroid Refractory Graft Versus Host Disease,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,"GVHD supportive-care trial in heme patients; 'multi' acceptable, arguably a non-oncology-screen leak"
NCT05996185,Study of Mogamulizumab With DA-EPOCH or CHOEP in Patients With Aggressive T-cell Lymphoma,T Cell Lymphoma;T-cell Lymphoma,Lymphoma,,lymphoma,Lymphoma,1,Lymphoma,1,
NCT06890884,"A Clinical Study of Zilovertamab Vedotin (MK-2140) Plus Rituximab Plus Cyclophosphamide, Doxorubicin, and Prednisone (R-CHP) Versus Polatuzumab Vedotin Plus R-CHP in People With Diffuse Large B-cell Lymphoma (DLBCL) (MK-2140-011/waveLINE-011)","Lymphoma, Large B-Cell, Diffuse",Lymphoma,,lymphoma,Lymphoma,1,Lymphoma,1,
NCT07463807,"Testing the Investigational Medication Combination of Teclistamab and Pomalidomide Compared to the Usual Treatment (Carfilzomib, Pomalidomide, and Dexamethasone) for Patients With Multiple Myeloma Who Have Relapsed Shortly After Treatment",Recurrent Multiple Myeloma;Refractory Multiple Myeloma,Myeloma & plasma cell,,myeloma,Myeloma & plasma cell,1,Myeloma & plasma cell,1,
